CURP,nombre_cliente,paterno_cliente,materno_cliente,Localidad,calle_cliente,numero_cliente,CP_cliente,tipo_cliente,fotografia_cliente,telefono_casa,telefono_celular_cliente,Edificio,correo_electronico_cliente
VBHS951127HEXWSO30,NILSON ANGEL,ALCARRAZ,BARRIO,IZTAPALAPA,A CDA DE OLIVOS  ,5,44510,A,nijfhsybw/pmwqc.qsc,87-71-63-43,55-85-43-64-30,Facultad de Ciencias,grosel16@buzzfeed.com
WHIV691226HEHISQ48,ASUCENA,ALCINA,PE?A,CUAJIMALPA,MACEDONIO ALCALA  ,51,81571,A,htgmkzeia/pczqkgbd.kbw,50-08-95-94,55-49-86-98-73,Facultad de Quimica,lmagarrell17@timesonline.co.uk
MPSC851016MCRMIZ14,LUIS,ALDABE,DINI,BENITO JUAREZ,BOSQUES DE BOHEMIA  ,154,15719,A,lhrf/nalibhfdku.xkq,37-74-29-42,55-64-43-41-65,Facultad de Quimica,srosenwald18@discuz.net
VPJC811229HRDJWN56,RICARDO,ALDABE,DINI,TLALPAN,VALLE PASSOS  ,591,41949,A,lszbvaxte/lfakojbndy.ezs,47-38-06-64,55-66-76-71-89,Facultad de Quimica,asabbins19@craigslist.org
NROG991229HXTJFB76,DANIEL,ALDECOSEA,PEDROZZA,CUAHUTEMOC,GARDENIAS  ,1898,71417,A,omnqpj/hkdy.lsd,64-41-17-39,55-38-21-06-43,Facultad de Odontologia,vskillitt1a@quantcast.com
BTAK961009MCSVXU63,MIGUEL,ALEGRETTI,CAMMARANO,GUSTAVO A. MADERO,JAMES MONROE  ,9713,81292,A,ogre/sierkhczy.vrq,27-13-66-38,55-96-81-98-81,Facultad de Quimica,clanfranchi1b@slate.com
HZQP881119MWYJDC24,JOSE ANTONIO,ALEM,DEACES,VENUSTIANO CARRANZA,BELLACO  ,905,86978,A,jeptk/jyvulsmd.apz,15-59-11-59,55-89-72-65-99,Facultad de Ciencias,ugarretts1c@alibaba.com
UAGT931109MYZLSI14,HUMBERTO RAM?N,ALFARO,MENDOZA,MIGUEL HIDALGO,INDEPENDENCIA  ,2,89639,A,kidrep/wkqgvir.qlc,25-00-25-54,55-14-92-30-31,Facultad de Quimica,jalfonsini1d@who.int
HINS831227MYVBQF62,JUAN CARLOS,ALFARO,CHIAPPA,IZTACALCO,HDA DE JILOTEPC  ,2,79448,A,rklgwqdstj/chxjua.eoj,35-53-18-52,55-18-70-51-61,Facultad de Quimica,acottie1e@ebay.co.uk
GZSF701029HBSOAP42,MARIA GABRIELA,ALGORTA,RUSI?OL,AZCAPOTZALCO,AV. JOSE DEL PILAR  ,99668,71139,A,kjse/ujde.otg,59-31-21-19,55-37-76-02-99,Facultad de Odontologia,mbrushneen1f@google.cn
THFA981128MZQGVE12,FELIPE JOSE,ALGORTA,BRIT,ALVARO OBREGON,CDA. DE FRANCISCO CASTAÑEDA  ,1540,22303,A,dlxcrmwko/inbpacyoqu.nqf,71-63-88-12,55-28-53-38-42,Facultad de Quimica,jcoopman1g@army.mil
JXMW931229HXMKYZ71,VERONICA,ALLES,VEDAIN,COYOACAN,SANTA MARIA  ,86863,20869,A,fgvs/mgzk.ysr,82-02-59-25,55-07-09-15-14,Facultad de Quimica,bpennoni1h@pagesperso-orange.fr
FJOE871229HPVWIT40,MAR?A LUISA,ALMADA,BLENGIO,TLAHUAC,HIGUERA   ,4774,26130,A,wacrjhdyp/obis.rqj,54-22-81-95,55-32-38-78-57,Facultad de Ciencias,bperis1i@prnewswire.com
IFTJ901019HERDAC03,NESTOR DANIEL,ALMADA,MONTANS,IZTAPALAPA,TULTEPEC  ,6584,41918,A,exgsazhk/jkpi.iyn,60-38-38-81,55-52-23-11-37,Facultad de Ciencias,eluker1j@shareasale.com
WKIV961128MXJWLG21,LUIS LEONARDO,ALMAGRO,LEMES,CUAJIMALPA,PLAZUELA  DE SAN PEDRO  ,15928,20108,A,tpoewvslr/wrhqokypfj.cxe,96-76-14-93,55-12-45-33-99,Facultad de Quimica,abaptie1k@reuters.com
ZYHG961229MDPIHJ48,MARIA GRACIELA,ALMANZA,DE LOS SANTOS,BENITO JUAREZ,TENAYUCA  ,4308,32026,A,qpjtibuxlk/poifdut.tsw,05-24-02-40,55-84-16-37-94,Facultad de Ciencias,rstive1l@ezinearticles.com
MCTV921206HVJAUH94,SILVANA JACQULINE,ALMEDA,MOREIRA,TLALPAN,A. CERRADA DE PEDRO MA. ANAYA  ,7,37558,A,dgvuhrbf/jydxfcwg.mkl,86-86-00-76,55-41-51-08-84,Facultad de Ciencias,alyle1m@nature.com
USQA820929MCMTGX57,GERARDO,ALMEIDA,BERDI?AS,CUAHUTEMOC,LLUVIA  ,9,16066,A,fpitj/dyqfro.qfb,03-15-68-93,55-91-05-91-62,Facultad de Odontologia,kfrewer1n@abc.net.au
RSHB840609MSDXIM90,GABRIELA,ALMIRATI,SAIBENE,GUSTAVO A. MADERO,CIRUJANOS  ,87,31237,A,tuhxd/hgzpxb.mvu,13-65-18-96,55-57-85-04-57,Facultad de Ciencias,daldcorn1o@ning.com
OAPT640928MPDRBS33,ALEJANDRO ANDRES,ALMIRON,BELEN,VENUSTIANO CARRANZA,IXTLIXOCHITL  ,61,99110,A,feshm/bmuroyl.tvn,50-10-17-10,55-95-45-29-69,Facultad de Ciencias,wfakes1p@alibaba.com
HEST831027MGKJCU38,JOSE LUIS,ALMIRON,FREDES,MIGUEL HIDALGO,PRADOS DE CEDRO  ,79,47611,A,pkhij/rugiw.omn,89-49-52-68,55-66-46-11-54,Facultad de Ciencias,edalgliesh1q@aol.com
OEXT711229HRWYPZ56,LEONARDO GUSTAVO,ALONSO,CHIAPPARA,IZTACALCO,ORQUIDEA  ,351,81697,A,bpuzo/yiaostxze.emz,69-73-90-60,55-36-46-51-16,Facultad de Ciencias,hdominichetti1r@topsy.com
PART731228MPFVLA57,VERONICA MARIA,ALONSO,MONTA?O,AZCAPOTZALCO, DE SEPTIEMBRE  ,9,73137,A,klsouwyg/ebznmys.izu,90-59-98-35,55-88-63-80-52,Facultad de Odontologia,nstarte1s@elegantthemes.com
MEKQ820828MLGEIC35,GONZALO,ALONSO,MAY,ALVARO OBREGON,PARAJE  ,7477,14302,A,gtiw/rxgk.cdx,58-38-91-41,55-39-07-10-10,Facultad de Ciencias,lpaoli1t@techcrunch.com
EDML681207HZSGNV30,NOEMI LYDIA,ALONSO,FIRPI,COYOACAN,MIGUEL BARRAGAN  ,363,75970,A,pxckmb/ghqma.kfq,76-75-48-95,55-52-48-90-56,Facultad de Quimica,pwinear1u@cdc.gov
EDCS991229HAPDVO10,MARIA DEL CARMEN,ALONSO,RODRIGUEZ,TLAHUAC,BATALLA DE CALPULALPAN  ,83,37197,A,howe/cjyetqb.dcl,27-51-09-29,55-60-88-85-00,Facultad de Ciencias,jkopta1v@ning.com
OVMB971208HELTNU61,MARIA JIMENA,ALONSO,HAUW,IZTAPALAPA,JOSEFA ORTIZ DE DOMINGUEZ  ,85180,89910,A,nwdhom/syfxzc.snb,18-75-88-64,55-00-81-96-06,Facultad de Ciencias,amagson1w@yandex.ru
WTAY901109MAPIQZ16,MARY CRISTINA,ALONSO,FLUMINI,CUAJIMALPA,GUERRILLERA  ,323,18174,A,mdcjqn/mwqsroya.qcn,50-58-22-62,55-03-27-93-92,Facultad de Quimica,rfelgat1x@scribd.com
EUXY791108HTWEJF98,ROSA M,ALPUY,CASAS,BENITO JUAREZ,CERRADA DE CUAUHTEMOC  ,85,51815,A,eyxdb/dzwotmj.erk,21-69-17-55,55-80-84-70-49,Facultad de Ciencias,hcarrack1y@meetup.com
QNWD951019HWEDJU66,RAMIRO,ALVAREZ,DE LA FUENTE,TLALPAN,GUERRERO  ,97,78282,A,mcvxa/pfdl.twy,63-00-49-28,55-65-91-06-37,Facultad de Psicologia,ddjorevic1z@flickr.com
MSPY971216HQPLNC76,LUIS,ALVAREZ,FERNANDEZ,CUAHUTEMOC,COPA DE ORO  ,23,43198,A,lmkwqcyoai/nluitbhzv.qcf,23-32-11-56,55-05-59-79-27,Facultad de Ciencias,mtireman20@google.pl
UXCQ801229HGHSDL95,JORGE ANTONIO,ALVAREZ,RODRIGUEZ,GUSTAVO A. MADERO,CALLE UNO  ,5,43283,A,yelq/aixylmjp.bep,46-19-76-41,55-37-97-67-72,Facultad de Psicologia,vshackleford21@opera.com
BHWM711129MAIZUJ89,PABLO EMILIANO,ALVAREZ,LOPEZ,VENUSTIANO CARRANZA,SN. CIPRIAN  ,6285,86464,A,qlseab/uadpisjmf.ics,20-12-24-89,55-48-48-53-59,Facultad de Quimica,vpigford22@google.ru
CBDI981206MJBKAF91,JUAN MARTIN,ALVAREZ,MAUVEZIN,MIGUEL HIDALGO,RETORNO  DE TRONCOSO  ,16,15725,A,igrak/atmojh.owm,84-38-92-79,55-43-43-04-67,Facultad de Quimica,jinkles23@chronoengine.com
SYAJ911028HSZDIA63,ANALIA,ALVAREZ,CORRAL,IZTACALCO,CRUZ VERDE  ,6472,32863,A,axfjs/wvqkolan.exi,91-06-43-46,55-23-45-42-34,Facultad de Ciencias,dmityushkin24@mozilla.org
LQRY961226HBWUNL97,ALVARO BOLIVAR,ALVAREZ,FERNANDEZ,AZCAPOTZALCO,SAN EMETERIO  ,40,14960,A,mqnwhebosf/zcnejuqrwk.oce,24-75-62-21,55-05-11-42-96,Facultad de Ciencias,aphilcox25@hexun.com
LJKQ871129MJWASI04,ALFREDO,ALVAREZ,BOGLIOLO,ALVARO OBREGON,PRIV. DEL CEDRAL  ,63,49246,A,eopzilqxcu/onmfsp.mef,99-22-64-90,55-66-41-64-48,Facultad de Ciencias,eleades26@accuweather.com
ZOGW991208HTHEMY59,ALEJANDRO,ALVAREZ,IZETTA,COYOACAN,GABRIEL RAMOS MILLAN  ,458,87990,A,sqvlt/pfmywaekl.use,15-99-26-17,55-00-97-97-87,Facultad de Ciencias,cmangeon27@godaddy.com
DXOR611129HIAZBC82,FERNANDO TOMAS,ALVAREZ,ALONZO,TLAHUAC,CIPRES  ,4880,49495,A,pymfo/mhapibeort.dlh,56-39-15-41,55-12-75-90-96,Facultad de Odontologia,ajanca28@ehow.com
WJBT871028MWTDFE91,HUGO,ALVAREZ,SALDIAS,IZTAPALAPA,LINO MERINO  ,54,39866,A,spfoimbz/dfebi.bwu,52-25-88-56,55-81-95-22-32,Facultad de Odontologia,mchristiensen29@sbwire.com
PASV921115HVGCPY62,ALICIA TERESITA,ALVAREZ,MARTINEZ,CUAJIMALPA,LABNA  ,160,73288,A,yqos/fyvl.nem,26-25-99-44,55-88-61-38-06,Facultad de Quimica,nhallt2a@earthlink.net
QCTV921228MRXAID14,GERARDO JAVIER,ALVAREZ,ESCURSELL,BENITO JUAREZ,RIO PAPAGALLO  ,89,70707,A,sgptb/fqkga.mvy,47-07-87-59,55-61-80-37-63,Facultad de Ciencias,sstuchbery2b@go.com
DSWU961208MOGBEV35,HUBERTO NILSON,ALVAREZ,SAMUDIO,TLALPAN,SAN EMETERIO  ,24354,56256,A,qezrvkph/yebafwoi.abk,86-41-05-95,55-84-00-36-37,Facultad de Ciencias,sstockbridge2c@fastcompany.com
TUMI941029MVERAN50,ANTONIO,ALVAREZ,PEREZ,CUAHUTEMOC,CERRADA DE LA ROMERIA  ,7911,26013,A,nqbuf/zmaqip.env,78-06-25-51,55-88-22-44-93,Facultad de Quimica,aolech2d@un.org
TDBC901228HGUPZI18,MIGUEL ANGEL,ALVES,ORTIZ,GUSTAVO A. MADERO,ALFONSO XIII  ,3,90145,A,hyoqrlbt/dnxie.piv,62-06-40-00,55-13-57-62-83,Facultad de Quimica,ehudless2e@sogou.com
SUQO621219MFAJLT48,MARTHA ELIZABETH,ALVES DE SIMAS,GRIMON,VENUSTIANO CARRANZA,ISABEL LA CATOLICA  ,63865,83209,A,dyhwcvqs/vdrp.rmn,40-40-43-69,55-44-90-59-90,Facultad de Ciencias,tbonham2f@edublogs.org
DBJY641229HWACQN74,VICTOR RICARDO,ALVEZ,IZQUIERDO,MIGUEL HIDALGO,CALLE MELCHOR OCAMPO  ,788,44861,A,kzvjbe/eplsdkozn.zpa,94-35-55-18,55-63-36-81-98,Facultad de Quimica,megglestone2g@tripod.com
DMZS931127HXLFIV89,RUBEN ARI,ALVEZ,VIERA,IZTACALCO,UNIDAD HABITACIONAL MILITAR  ,81037,50311,A,ztrindsxpj/bwhfy.ipb,51-16-87-31,55-74-45-60-29,Facultad de Ciencias,klethem2h@over-blog.com
QJGA631229MENPRQ37,ROQUE GASTON,ALVEZ,VIERA,AZCAPOTZALCO,ROMULO O FARRIL  ,13761,41507,A,nempwuz/gsdyvrkm.yan,93-88-23-45,55-94-63-68-68,Facultad de Ciencias,nwithull2i@360.cn
MADY651229HVEUCK71,AMERICO,ALVEZ,PEREZ,ALVARO OBREGON,ALZATE  ,86823,59916,A,pnyb/dlxr.rex,54-55-65-18,55-44-69-84-80,Facultad de Quimica,feldridge2j@booking.com
PVML651229MFEMZP15,ANA CAROLINA,ALVEZ,HOURCADE,COYOACAN,AV. NACIONES UNIDAS  ,0,44190,A,docnfgu/utxisfhogd.juq,81-33-00-18,55-53-00-43-62,Facultad de Ciencias,pdoddemeade2k@ebay.com
NXVW890929MRBYKT93,EVA MYRIAN,ALVEZ,VILA,TLAHUAC,BOCA DEL RIO  ,659,76069,A,hblptaxdw/unqtlhbmpy.atn,18-42-18-07,55-74-16-64-92,Facultad de Ciencias,lalfonso2l@go.com
BLOA881229HWNQJZ23,ALVARO MARTIN,ALZA,SASTRE,IZTAPALAPA,JUAN ZAIZAR  ,31488,19583,A,lxkfa/xtjfdle.tdl,99-75-31-42,55-01-94-46-84,Facultad de Ciencias,fflips2m@gov.uk
UIGQ981228HAHYZP00,MARISA DANIELA,ALZA,FIORELLI,CUAJIMALPA,PRIV. ABASOLO  ,2109,13359,A,bwyzq/ahijzgc.lax,17-82-95-29,55-50-13-73-70,Facultad de Ciencias,mdossettor2n@instagram.com
AOWV981119MHGRAP70,JUAN PABLO,ALZUGARAY,SARALEGUI,BENITO JUAREZ,CALLE   ,58,50722,A,gvxnbaqlpy/awfi.wir,00-82-28-02,55-32-63-89-55,Facultad de Odontologia,tbrownsall2o@theguardian.com
ODMB910919HFBTJI55,FERNANDO,AMADO,FERNANDEZ,TLALPAN,CDA.DE LA SOLEDAD  ,1,56294,A,vnxtmkjrug/ajrqs.cwp,17-48-28-64,55-45-19-44-30,Facultad de Psicologia,amatussov2p@instagram.com
TZUF771208HICFPK44,SYLVIA,AMADO,APARICIO,CUAHUTEMOC,PALMIRA  ,1,42069,A,sbtwvaxy/bynm.zrm,01-69-44-07,55-82-23-26-24,Facultad de Musica,sgillfillan2q@e-recht24.de
ZNGA841208HUECDH58,MARCELO,AMADO,CHALELA,GUSTAVO A. MADERO,CJON.TEZONTLICPAC  ,1,98672,A,pzogs/mbrascyev.ojt,02-96-79-64,55-87-17-54-69,Facultad de Ciencias,tletessier2r@godaddy.com
CJLT961229MKTXEI61,HUGO ARIEL,AMARAL,ROCCA,VENUSTIANO CARRANZA,CDA DE MINAS  ,97,43356,A,qgikco/xandzqcg.mut,27-20-55-01,55-42-50-84-49,Facultad de Ciencias,kgarvie2s@yellowpages.com
XVLF751226MPGDHA04,GERARDO ANDRES,AMARILLA,DE NICOLA,MIGUEL HIDALGO,PERU  ,9847,79428,A,khoreplgq/qobcikrwel.vgo,35-23-63-97,55-18-95-71-73,Facultad de Ciencias,bmasser2t@webeden.co.uk
RXVL951206HUTJFZ18,JUAN JUSTO,AMARO,CEDRES,IZTACALCO,PEDRO AGUIRRE CERDA  ,630,15804,A,pieoczt/iknolg.qmh,12-88-10-13,55-82-01-17-69,Facultad de Quimica,dthreadgold2u@amazon.co.jp
SLYB881016MAWOZN42,RUBEN JOSE,AMARO,MACHADO,AZCAPOTZALCO,CALVARIO  ,119,70522,A,ebpoita/jwbucm.dyq,74-48-42-77,55-40-56-81-35,Facultad de Ciencias,dminers2v@opensource.org
QFUW951029HZBTXO58,RUBEN WILLIAMS,AMATO,LUSARARIAN,ALVARO OBREGON,PERUANOS  ,71323,10820,A,impwlbkj/zbntfdghm.rxi,56-72-80-52,55-61-61-15-95,Facultad de Musica,cchichgar2w@sogou.com
OEKF721227MJOFQC63,ELDER DIEGO,AMENDOLA,MAZZULA,COYOACAN,LOMA DE GUADALUPE  ,34,99888,A,oafr/vrjmxzou.cuh,51-89-71-86,55-09-90-67-22,Facultad de Ciencias,fmatthiesen2x@dropbox.com
ZPOL990929MTZYGD19,FERNANDO,AMESTOY,ROSSO,TLAHUAC,ATLETAS  ,4,52248,A,njeycdgtv/qklonvwcef.eai,50-16-95-52,55-87-03-03-51,Facultad de Quimica,ozanetello2y@sakura.ne.jp
