id_cobro,id_viaje,curp,descuento,monto,monto_final
45,45,MPSC851016MCRMIZ14,10,311,279.9
46,46,VPJC811229HRDJWN56,10,306.52,275.87
47,47,NROG991229HXTJFB76,10,55.08,49.57
48,48,BTAK961009MCSVXU63,10,219.64,197.68
49,49,HZQP881119MWYJDC24,10,234.12,210.71
50,50,UAGT931109MYZLSI14,10,368.2,331.38
51,51,HINS831227MYVBQF62,10,81.56,73.4
52,52,GZSF701029HBSOAP42,10,195.96,176.36
53,53,THFA981128MZQGVE12,10,135.24,121.72
54,54,JXMW931229HXMKYZ71,10,211.8,190.62
55,55,FJOE871229HPVWIT40,10,220.84,198.76
56,56,IFTJ901019HERDAC03,10,171.4,154.26
57,57,WKIV961128MXJWLG21,10,270.92,243.83
58,58,ZYHG961229MDPIHJ48,10,152.2,136.98
59,59,MCTV921206HVJAUH94,10,184.52,166.07
60,60,USQA820929MCMTGX57,10,51.8,46.62
61,61,RSHB840609MSDXIM90,10,324.12,291.71
62,62,OAPT640928MPDRBS33,10,81.88,73.69
63,63,HEST831027MGKJCU38,10,143.8,129.42
64,64,OEXT711229HRWYPZ56,10,345.24,310.72
65,65,PART731228MPFVLA57,10,198.68,178.81
66,66,MEKQ820828MLGEIC35,10,67.96,61.16
67,67,EDML681207HZSGNV30,10,191.08,171.97
68,68,EDCS991229HAPDVO10,10,186.28,167.65
69,69,OVMB971208HELTNU61,10,233.16,209.84
70,70,WTAY901109MAPIQZ16,10,353.48,318.13
71,71,EUXY791108HTWEJF98,10,282.2,253.98
72,72,QNWD951019HWEDJU66,10,356.28,320.65
73,73,MSPY971216HQPLNC76,10,237.48,213.73
74,74,UXCQ801229HGHSDL95,10,247.72,222.95
75,75,BHWM711129MAIZUJ89,10,85.16,76.64
76,76,CBDI981206MJBKAF91,10,301.8,271.62
77,77,SYAJ911028HSZDIA63,10,289.72,260.75
78,78,LQRY961226HBWUNL97,10,168.04,151.24
79,79,LJKQ871129MJWASI04,10,254.92,229.43
80,80,ZOGW991208HTHEMY59,10,329.48,296.53
81,81,DXOR611129HIAZBC82,10,117.64,105.88
82,82,WJBT871028MWTDFE91,10,306.28,275.65
83,83,PASV921115HVGCPY62,10,229,206.1
84,84,QCTV921228MRXAID14,10,235.96,212.36
85,85,DSWU961208MOGBEV35,10,170.2,153.18
86,86,TUMI941029MVERAN50,10,314.92,283.43
87,87,TDBC901228HGUPZI18,10,26.12,23.51
88,88,SUQO621219MFAJLT48,10,248.84,223.96
89,89,DBJY641229HWACQN74,10,356.28,320.65
90,90,DMZS931127HXLFIV89,10,240.52,216.47
91,91,QJGA631229MENPRQ37,10,30.6,27.54
92,92,MADY651229HVEUCK71,10,143.72,129.35
93,93,PVML651229MFEMZP15,10,281.8,253.62
94,94,NXVW890929MRBYKT93,10,45.64,41.08
95,95,BLOA881229HWNQJZ23,10,74.2,66.78
96,96,UIGQ981228HAHYZP00,10,370.68,333.61
97,97,AOWV981119MHGRAP70,10,351.64,316.48
98,98,ODMB910919HFBTJI55,10,296.12,266.51
99,99,TZUF771208HICFPK44,10,217.72,195.95
100,100,ZNGA841208HUECDH58,10,61.24,55.12
101,101,CJLT961229MKTXEI61,10,75.24,67.72
102,102,XVLF751226MPGDHA04,10,355.56,320
103,103,RXVL951206HUTJFZ18,10,335.72,302.15
104,104,SLYB881016MAWOZN42,10,143.24,128.92
105,105,QFUW951029HZBTXO58,10,176.92,159.23
106,106,OEKF721227MJOFQC63,10,111.32,100.19
107,107,ZPOL990929MTZYGD19,10,241.4,217.26
108,108,DBUL701218MCFGRS59,10,89.48,80.53
109,109,MNZH751029MRMFUW01,10,126.04,113.44
110,110,GIJL941215HTMYGB00,10,186.92,168.23
111,111,GDLU911219MGCPRV26,10,46.04,41.44
112,112,PKJW961229MIBFPD80,10,315.56,284
113,113,UMTZ781228HVZLQC68,10,275.24,247.72
114,114,DNJK931029HYSTBC01,10,22.6,20.34
115,115,JDGH980909MQUWZL18,10,55,49.5
116,116,FWTD741108MBVAGL41,10,315,283.5
117,117,SIBT970909MKDNIF58,10,67.32,60.59
118,118,ROXP681229HKEFYZ49,10,26.84,24.16
119,119,KBWX841229MBKXUV85,10,316.92,285.23
120,120,FJPH631218HJIPBK41,10,162.2,145.98
121,121,MTNX881207HZDXUY85,10,184.44,166
122,122,YSXH691208HPOHDK14,10,72.6,65.34
123,123,ZFDC611116HJWVAI36,10,304.84,274.36
124,124,NYWD881229HESNAM67,10,153.32,137.99
125,125,SMDL911208MPIORZ03,10,123.16,110.84
126,126,EKVB811229MOKVJA55,10,287.64,258.88
127,127,LVKE910925MFLBDH57,10,305.96,275.36
128,128,INWB851219MAGCEY90,10,66.92,60.23
129,129,KRLV871228MCZYHS63,10,256.6,230.94
130,130,NTIM851209HZYQXB67,10,263.4,237.06
131,131,ZPYO641219MHTWXK76,10,255.4,229.86
132,132,NBGS981129HATWCE84,10,226.84,204.16
133,133,PKMR601108HQOLNJ41,10,82.36,74.12
134,134,USQV811207MDZGUS43,10,224.76,202.28
135,135,ZQME611219HXPYRG84,10,302.84,272.56
136,136,SWGJ930909HRZOPB19,10,186.44,167.8
137,137,MRDG971219MYSAKX03,10,361.64,325.48
138,138,QAGW911227MEQOTJ94,10,117.88,106.09
139,139,JCFZ950914MLBXUQ02,10,117.16,105.44
140,140,UAQJ611108MMOVYE06,10,226.36,203.72
141,141,TOBP691227HCUVHX13,10,326.2,293.58
142,142,MTSV951118HDFHLX50,10,370.76,333.68
143,143,JLCA831229MZOHLB30,10,154.6,139.14
144,144,ITGZ751217HMXTNV87,10,292.36,263.12
145,145,KXYW961017HMWZNO10,10,352.68,317.41
146,146,VXQC601207MXIEKN39,10,361.32,325.19
147,147,EBDY671107HQAWJT62,10,304.84,274.36
148,148,PMVT961219MLCZKV70,10,206.44,185.8
149,149,ZRTC921229HXPVFZ46,10,316.76,285.08
150,150,GQMK941019MGETJX58,15,211.4,179.69
151,151,VXME771127MNKXIO12,15,303.24,257.75
152,152,TPGY961228MBIWJK60,15,56.6,48.11
153,153,QBFN811018HLVKHN77,15,149.08,126.72
154,154,STMH981229MGERBN63,15,119.96,101.97
155,155,TNHK661128MDANMU40,15,175.48,149.16
156,156,YOHU851229HGEPQB61,15,321.64,273.39
157,157,KEUN810928HNYEQX26,15,350.12,297.6
158,158,WIBD911029MNCEWI17,15,214.68,182.48
159,159,WIUN951219MFCDKL03,15,183.48,155.96
160,160,PJQR751109MYFZXA71,15,183.16,155.69
161,161,LXOM821219HMBECO52,15,151.08,128.42
162,162,IMHU731018HUPJQX83,15,164.52,139.84
163,163,FCKE901119HNCELW12,15,179.32,152.42
164,164,XYWE921209HUQBPG77,15,353.48,300.46
165,165,BUTP631117MOSCZL18,15,257.64,218.99
166,166,UGDF621229HBISPK63,15,93,79.05
167,167,HLYZ901229MTWHLU69,15,125.96,107.07
168,168,ZIET980915MKQXJS70,15,115.96,98.57
169,169,SQBM901208HOZIYM53,15,26.36,22.41
170,170,BNWO621126MUOKLA66,15,19.24,16.35
171,171,NQIY931229MQTPCJ46,15,116.6,99.11
172,172,FMCZ780919MZYSQX78,15,51.72,43.96
173,173,QNFP921108MCAHUM42,15,38.12,32.4
174,174,IOXV930819HGPIJL80,15,284.6,241.91
175,175,NDQZ741009MFBWQY90,15,174.52,148.34
176,176,CORZ901229MCWLTG46,15,122.84,104.41
177,177,LNPA981229MFSOWJ38,15,139.32,118.42
178,178,FTQY951229MKOVQJ76,15,25.72,21.86
179,179,RASM971227MKBXRE10,15,109,92.65
180,180,KWFB971228MFRXVE56,15,318.6,270.81
181,181,DAIF861127MZFYEC56,15,335.4,285.09
182,182,TONA801209HGSJNO12,15,310.36,263.81
183,183,CMEX941229HNZVIB33,15,73.72,62.66
184,184,MPRV941129MJLKXR36,15,143.56,122.03
185,185,MJUA820708HTYWAQ64,15,187.32,159.22
186,186,CSZU751229MHLYDA84,15,181.24,154.05
187,187,FJHY861107MQVWSJ41,15,278.04,236.33
188,188,MOVT931218MYTNGX57,15,191.08,162.42
189,189,IXBR961127HLAPMG72,15,336.04,285.63
190,190,NSLI911029MMUDBX31,15,217.48,184.86
191,191,TIVE970919HWEMCV40,15,263.24,223.75
192,192,SEUI911128MKTGXS81,15,312.36,265.51
193,193,WQPT811226HCYTJD87,15,280.12,238.1
194,194,QKCM921109HQDZBP19,15,36.92,31.38
195,195,RTDH801117MMTUAH61,15,330.44,280.87
196,196,SZHX991027MAVWTI21,15,105.64,89.79
197,197,KEJR631229HUBCRA31,15,130.68,111.08
198,198,FUYS961229HONQSI77,15,264.28,224.64
199,199,OGDM871229MBXIDO52,15,290.76,247.15
200,200,ILCX911126HDCKXS74,15,158.92,135.08
201,201,DVHR901228HNHLVQ01,15,57.72,49.06
202,202,CFSO850828HKRTSM51,15,290.44,246.87
203,203,YLRN811209MJBGPD57,15,266.36,226.41
204,204,UTFW951219MREICZ35,15,270.36,229.81
205,205,RNYS690919HTBADY79,15,206.6,175.61
206,206,BGEX991106MSEPTF65,15,176.36,149.91
207,207,BNQZ941218MKYCBU73,15,144.52,122.84
208,208,QRNX911107HHUJAP88,15,97.16,82.59
209,209,MGXP951207HNLKUX93,15,178.76,151.95
210,210,SLGJ960909MQWCTY08,15,272.52,231.64
211,211,IEQD791228MQGTEV14,15,35.16,29.89
212,212,JTNQ931107HZWQIF67,15,46.92,39.88
213,213,UDAT671229MZFRQI40,15,164.2,139.57
214,214,LTZS981216HJCSKW53,15,37.8,32.13
215,215,QRWL921119MNXOUP33,15,109.56,93.13
216,216,LZHC970829MKCRLM10,15,341.8,290.53
217,217,CXWF981209MFRLSZ15,15,295.56,251.23
218,218,LFCA961227HMYJCD11,15,290.6,247.01
219,219,AOSN691128HPKALM02,15,159.08,135.22
220,220,BSEL831209MLKIJP58,15,41.48,35.26
221,221,TUNI991219HULZSF36,15,368.12,312.9
222,222,NAHQ891219MCVSMZ43,15,291,247.35
223,223,YBOL651128HYVWZF33,15,181,153.85
224,224,JYHA831127HBSPIW41,15,117.32,99.72
225,225,UZRL881109HAYHJI74,15,359.64,305.69
226,226,VHDK791229HHACJV10,15,63,53.55
227,227,BJAF781129MEYGVS54,15,319.88,271.9
228,228,IXMR961106MCKNVZ60,15,27.24,23.15
229,229,GKUH971218HKBSLW86,15,47.88,40.7
230,230,FTLN641229MVBAJX53,15,196.92,167.38
231,231,VOBY730819HCZMRU45,15,229.24,194.85
232,232,IRBE911209HXLTDJ74,15,239.64,203.69
233,233,DOWH850828HTMQOP39,15,181.32,154.12
234,234,XCDA930817MMYURO98,15,291.4,247.69
235,235,VXTI930909MSHMLP91,15,218.12,185.4
236,236,VMCD931209HNOCDT75,15,241.32,205.12
237,237,KWTQ871226HWMHKX69,15,30.76,26.15
238,238,XHCS851218HZIXCR99,15,347.48,295.36
239,239,ZDWO911126MBYKRI73,15,341.88,290.6
240,240,NYDL811227HOHVDM00,15,210.6,179.01
241,241,PUJL961007MVXOMB84,15,188.36,160.11
242,242,ZGTI981228HKVEWR82,15,39.72,33.76
243,243,PNBT831129MJRCXL45,15,366.44,311.47
244,244,WAVB981107HFUJKR10,15,224.36,190.71
245,245,KBFM801219MKJBFC71,15,286.36,243.41
246,246,NAPX991009MBPEKY58,15,115.72,98.36
247,247,QDAV861017HUMIKS38,15,298.12,253.4
248,248,KDTB950928MDCKPO22,15,291.56,247.83
249,249,IAUJ861128MTEIFR78,15,188.68,160.38
250,250,XVCK831229MECGTR27,15,362.44,308.07
251,251,CGOQ901129MKLUEB43,15,104.2,88.57
252,252,XFKS881229MGIXLH16,15,312.6,265.71
253,253,CTXP911129HYJVKX72,15,357.96,304.27
254,254,VMCX821107HHZAXU08,15,42.92,36.48
255,255,DWRY800828HVDGXQ51,15,371.64,315.89
256,256,YKOQ851029MGTHCN83,15,252.52,214.64
257,257,TNGM951209HVMAFZ45,15,264.04,224.43
258,258,ECKG951208HMKGVC94,15,267.72,227.56
259,259,IDVG721119MOYJSP34,15,93.96,79.87
260,260,THGF961009HLSIFW46,15,225.24,191.45
261,261,SYUD831119MWAJMI24,15,154.2,131.07
262,262,MLPR951028HHWJYO98,15,263.24,223.75
263,263,RLNJ721219HPQKLT04,15,372.6,316.71
264,264,WGOE851225HSPWAN78,15,261.16,221.99
265,265,ZSQU991118MHWUBL02,15,53.96,45.87
266,266,WZRH741227HBQDIA96,15,184.36,156.71
267,267,BOSX921029MGEPUK91,15,157.16,133.59
268,268,KTYX991218HQPHLY17,15,363.64,309.09
269,269,LMJY941129MYIJKQ89,15,223.32,189.82
270,270,WNYQ821229MYKXJD09,15,34.84,29.61
271,271,YKWN631209HXGMKC56,15,310.2,263.67
272,272,KQHD741219HODWGU62,15,122.84,104.41
273,273,UDJC631228HOANXZ03,15,331.32,281.62
274,274,XHRW961206HVTRHB06,15,86.04,73.13
275,275,WEOH681001HJZXOP48,15,268.76,228.45
276,276,WQUZ951226MRQWPU54,15,72.28,61.44
277,277,VHCF981228MUXVTS68,15,134.36,114.21
278,278,GFCL731209HEVHTO79,15,237.72,202.06
279,279,ITAB891208MNWXAY69,15,323.24,274.75
280,280,YDCE631029HGFQCW32,15,247.72,210.56
281,281,UQFB731018HYPAKN69,15,74.92,63.68
282,282,KEPY951129HJIRHG10,15,352.04,299.23
283,283,NMEV921208HAQYNP36,15,223.56,190.03
284,284,QZPR941218MRQMPA70,15,240.68,204.58
285,285,FXNK641229MUQAZE44,15,260.52,221.44
286,286,TCJI991118MFXHMP09,15,288.68,245.38
287,287,QZXO951018HRTVZX90,15,303.72,258.16
288,288,QBVF921208HXVKTR71,15,276.6,235.11
289,289,OCEV891228HSMXTE52,15,363.16,308.69
290,290,FJNX961217MAJWUS22,15,153.24,130.25
291,291,WIUZ941019HVQJOE94,15,343.56,292.03
292,292,EWAQ971127HDIBYT25,15,93.24,79.25
293,293,NUGD881009HEBUIN30,15,356.04,302.63
294,294,TIVK991029MXYDUP07,15,150.68,128.08
295,295,PNYL691109HUFAYC98,15,294.12,250
296,296,ZUGN981228HPYBXO82,15,124.12,105.5
297,297,VOKF701009HMKTPA07,15,353.88,300.8
298,298,PIRN861229HGOENV00,15,87.8,74.63
299,299,XRJD991208MKVEBL83,15,55.72,47.36
300,300,VTQI701107HUWKSG82,15,171.64,145.89
301,301,JXON740928MDKOYC32,15,126.68,107.68
302,302,IFYT901218HHTKEJ32,15,338.12,287.4
303,303,FWCA671108MSIYGJ00,15,33.72,28.66
304,304,ZOCH941029HWUEOD86,15,186.28,158.34
305,305,ZBFV900919HUVLFM93,15,285,242.25
306,306,KHZP741219HNRVUM07,15,70.44,59.87
307,307,ZGBF871026HWCKXO42,15,167,141.95
308,308,EHIP911128MHNBJC68,15,373.8,317.73
309,309,ZCWG690729MZWISK53,15,350.12,297.6
310,310,BFLP721229HIFWPM47,15,71.56,60.83
311,311,GMZT901019HNSAZH63,15,119.96,101.97
312,312,YZEL770929MQHDUT07,15,321.24,273.05
313,313,LPSR940909HTUZAD24,15,82.2,69.87
314,314,IFDB811028HDEHRA50,15,117.96,100.27
315,315,DPVW710923MYDEVI91,15,38.2,32.47
316,316,AQBC821127HAYNMX06,15,245.24,208.45
317,317,LRBD871028MRWPLE37,15,349.72,297.26
318,318,SNOW681129MLJBNV87,15,315.48,268.16
319,319,FMUV851218HEPASD72,15,283.96,241.37
320,320,XBGC831008HKNJMT64,15,61.8,52.53
321,321,YPDB991209HWZXSI58,15,260.36,221.31
322,322,CBEK971219MGHCLI03,15,310.92,264.28
323,323,NMZH901229HIOHYN81,15,119.96,101.97
324,324,JSAX801219MVGIUB65,15,196.2,166.77
325,325,PWQF960919MHWXGE90,15,115.56,98.23
326,326,ZGAE671209MBLKGV24,15,126.28,107.34
327,327,VPQY941027HGXJQV72,15,332.36,282.51
328,328,ICMJ651207HUPDJG49,15,223.96,190.37
329,329,ZHJA931129MSEKVO26,15,324.04,275.43
330,330,JCIO921109HVCIFZ04,15,169.96,144.47
331,331,TEMS751119HLQCVS31,15,363.56,309.03
332,332,KWVX691228HEUKQG58,15,330.04,280.53
333,333,WBCS890728MSHBXF30,15,251.48,213.76
334,334,YFKX981229HTWAFJ22,15,370.12,314.6
335,335,KABN850919HAJKMX61,15,34.84,29.61
336,336,RZUT881019MNEWPV48,15,152.76,129.85
337,337,XROU961129HBVHQO76,15,323.72,275.16
338,338,JYXR971127MVKYOW60,15,297.4,252.79
339,339,XIYM821127MMCXQG26,15,171.64,145.89
340,340,JFVT601228MUPGNI72,15,128.52,109.24
341,341,DCWG981229MSVBIG52,15,307.4,261.29
342,342,GHMZ761107MZDGIY12,15,48.12,40.9
343,343,GVMH961029MEXRGV82,15,156.6,133.11
344,344,TLAI681209HVMEWX00,15,204.76,174.05
345,345,YUWH951117MPJXVQ82,15,196.04,166.63
346,346,QCBU921125MRJCUP59,15,311.08,264.42
347,347,LSNZ921109MRGBNE87,15,159,135.15
348,348,YVNR741229HRWPUZ78,15,359.16,305.29
349,349,QNXU911209MZHXDV16,15,348.84,296.51
350,350,WILC991008HJDOGQ47,15,302.84,257.41
351,351,FAMV980926HTCKHJ47,15,125.16,106.39
352,352,AYWG801019MRUXVC39,15,342.84,291.41
353,353,NKIP901227HTQGKP20,15,367.8,312.63
354,354,NTOU611028HCJXFZ41,15,240.2,204.17
355,355,ZMIR621129MYGLNS10,15,247.56,210.43
356,356,UTER991228HIPRWD15,15,331.64,281.89
357,357,BTZJ621119HKIDTL72,15,34.36,29.21
358,358,IJNY871229HHEDTF23,15,69.16,58.79
359,359,MLQW671009MBYQEV14,15,311.72,264.96
360,360,VQXB781128MSNITK26,15,252.44,214.57
361,361,FYIG971129MOESJR72,15,167.48,142.36
362,362,RYSA951128MVMKHT72,15,319.08,271.22
363,363,RKWN991218MOLYWX24,15,287.56,244.43
364,364,KUYP701129MLTDPI28,15,97.72,83.06
365,365,IWPC911218MDSFWA85,15,255.24,216.95
366,366,IYTR941119HOFHGP94,15,128.04,108.83
367,367,XKIV941228MUDOHM72,15,301.88,256.6
368,368,WVPO851229MUXNFZ07,15,27,22.95
369,369,HFOR911129MWVMKF91,15,348.12,295.9
370,370,DKCW711117HEZYDC67,15,246.04,209.13
371,371,DAOE691229MYJUNX08,15,294.12,250
372,372,UHZB941219MMQPUS31,15,309.72,263.26
373,373,VADO641209HHVFTU01,15,354.68,301.48
374,374,YNDP891209MDCRZQ86,15,178.12,151.4
375,375,NAFB941009HDRMWQ24,15,68.84,58.51
376,376,SGIZ921219MSTZAH92,15,163.32,138.82
377,377,EOFW991028HTBHNI23,15,258.52,219.74
378,378,PFMR860807HPZQKH43,15,34.36,29.21
379,379,RGJQ861106MLUWDC13,15,33.64,28.59
380,380,WJFO901217MVCGNI29,15,101.72,86.46
381,381,FVZU931219HOGJKL82,15,294.6,250.41
382,382,OXPD901117HSTOEP09,15,220.44,187.37
383,383,ZSMJ910528HOVJYB93,15,124.76,106.05
384,384,RLYC741129MEDYFO31,15,102.04,86.73
385,385,MJZH951028HTOGUZ16,15,371.24,315.55
386,386,WLAQ991104HEAMGZ58,15,199.56,169.63
387,387,KPBH631119MZVTNK35,15,199.16,169.29
388,388,CYVQ641128HOPMIB40,15,232.04,197.23
389,389,HDBO641227MNAULQ86,15,349.72,297.26
390,390,NQKS950906HEVABY30,15,107.08,91.02
391,391,ACJY870702HKJWMY13,15,119,101.15
392,392,UHDO941119HKAFDW31,15,344.2,292.57
393,393,THVK961209HDQLAM47,15,187,158.95
394,394,CWDN631209MWTUZL59,15,218.6,185.81
395,395,NTWZ881225HZHGAM67,15,56.36,47.91
396,396,HBVT831109MRJOSA14,15,340.2,289.17
397,397,ZTAY941228MLSCFD30,15,301.72,256.46
398,398,WMDI631209MVNYDQ58,15,38.44,32.67
399,399,FHVM921016HGIBDN99,15,202.12,171.8
400,400,ZHJM771018HLZWXO00,15,257.4,218.79
401,401,OUKL991226MRKCXV55,15,367.96,312.77
402,402,GAHP931227HXUZWQ69,15,35.56,30.23
403,403,DSNQ901228MYCXVE00,15,52.84,44.91
404,404,WQVO611209MBHKYM49,15,305.32,259.52
405,405,WCAF851208HPADKY78,15,111.8,95.03
406,406,TNXW901219MXAZVE68,15,277.32,235.72
407,407,QMXV601128MGHLIQ98,15,28.12,23.9
408,408,KMFP991008MBYXGQ83,15,213.24,181.25
409,409,ISMW601128MPBHKO24,15,342.6,291.21
410,410,ZOXW951129HVGUCS84,15,295.88,251.5
411,411,VHWS980929HNPTHC55,15,370.52,314.94
412,412,FJRC971229HKMVWZ59,15,276.68,235.18
413,413,SCHK871229MOABDP17,15,104.44,88.77
414,414,RQLX901126METWKC55,15,187,158.95
415,415,HXFQ751009HPOXEU83,15,351.48,298.76
416,416,ETUM961106MGTQBH54,15,366.12,311.2
417,417,YKIS631029HAFQJZ04,15,303.64,258.09
418,418,LQVB661229HZTPHY53,15,191,162.35
419,419,PXTC721123HERMYU81,15,196.68,167.18
420,420,ECYR820709HBWFLQ87,15,275.24,233.95
421,421,BHMZ681209MTXVHC60,15,365.4,310.59
422,422,GVQP791128MUXBEF24,15,345.48,293.66
423,423,OLBS640729HJIXKB11,15,125.08,106.32
424,424,ELFW801117HCFANQ79,15,242.2,205.87
425,425,AHDI900629MIOSKH24,15,188.12,159.9
426,426,EAKQ980607HWXOGV75,15,324.84,276.11
427,427,NCOU791119MLBVND29,15,248.52,211.24
428,428,AYRZ711226HVOAXJ62,15,47,39.95
429,429,QSEX921209MGDPXU20,15,181.88,154.6
430,430,WAUC601208HQWNJS80,15,270.36,229.81
431,431,JFBM801204HVGXNS61,15,201.8,171.53
432,432,PLCU941129MHQMOL57,15,243.4,206.89
433,433,HANU901019HICYNS20,15,216.28,183.84
434,434,MBPN731209HYUMPN01,15,117.48,99.86
435,435,AWDM890809HVOYNB70,15,320.76,272.65
436,436,NLZX950629MEBQXJ79,15,108.28,92.04
437,437,MHXB671205MVBWEP12,15,179.08,152.22
438,438,BYFG871229MSUZIF88,15,338.2,287.47
439,439,YPOB901209HJINPL52,15,275.8,234.43
440,440,QWGR661129HCKMNW13,15,156.12,132.7
441,441,DENB921229MVJPEO83,15,64.28,54.64
442,442,FDQL910906HMHGBL35,15,65.88,56
443,443,EILW811207MZIMGD13,15,359.56,305.63
444,444,RNCX991229HCGFNO16,15,363.24,308.75
445,445,IAVS891128MIQYZJ60,15,172.68,146.78
446,446,QLWX921219MMQZWF22,15,162.12,137.8
447,447,YLSB990919MEQBDW91,15,168.92,143.58
448,448,JYGH991027MYRZSV61,15,158.28,134.54
449,449,DXUZ981229MPHKRU29,15,225.24,191.45
450,450,BUKT971129HDKCBF25,10,141.8,127.62
451,451,HQDY601219MQYPIZ64,10,49.64,44.68
452,452,FDVS921029HTNKWG83,10,125.48,112.93
453,453,BVUM861129HWTGOR68,10,145.32,130.79
454,454,HMGC920909MFRUOZ54,10,322.52,290.27
455,455,GOCD981228HLQCVF65,10,283,254.7
456,456,NHVL891019HJBMTX59,10,148.76,133.88
457,457,CWNY961229HGTLZI36,10,45.08,40.57
458,458,VEQT611228HOPGBJ12,10,127,114.3
459,459,GCMP901229HFHEDN49,10,208.84,187.96
460,460,RCUV871108MEPWGY29,10,367,330.3
461,461,FAVS721226HVDJEI36,10,118.92,107.03
462,462,RUJX931218MPKWIJ68,10,232.2,208.98
463,463,KFNU921109MRCMOA18,10,133.88,120.49
464,464,JQBX991207MLWSHN94,10,77.72,69.95
465,465,JLVX991225HFVKPC91,10,27.88,25.09
466,466,LKYU931219HBLITQ57,10,206.28,185.65
467,467,KCHU791219HUMCLS84,10,152.84,137.56
468,468,UQNX991209HVLHMC65,10,139.8,125.82
469,469,XLTW821228HKMXHT63,10,362.6,326.34
470,470,GYEA821207MXPLVD09,10,235.72,212.15
471,471,MDTY981219MPQRBE03,10,81.32,73.19
472,472,JGPX881208MJIWFH80,10,100.04,90.04
473,473,IEPM781225MLUSEK48,10,38.52,34.67
474,474,DUXB961105MJTRWA76,10,203.96,183.56
475,475,KCJX681219HENAYM35,10,373.56,336.2
476,476,DMOV770826MBTVZQ47,10,59.08,53.17
477,477,VOZM671227HURYME68,10,242.92,218.63
478,478,CXIQ781009HTUJQV55,10,125.96,113.36
479,479,DIRW880927MENUIA14,10,161.56,145.4
480,480,JKQZ821217HPFTJX48,10,354.36,318.92
481,481,QGEI951229MOQGLZ49,10,203.4,183.06
482,482,LETQ750929MAHEGK14,10,301.64,271.48
483,483,OVLI921119HMZUKF94,10,76.2,68.58
484,484,HAMK891009HJYNXB24,10,190.12,171.11
485,485,ERUM861129HRSVMA37,10,118.76,106.88
486,486,JUSI651209MODBHA43,10,151.64,136.48
487,487,YPAO701227HOQHNY52,10,122.92,110.63
488,488,AUNS831029HYZMPN90,10,30.68,27.61
489,489,EXQA791227HGAPZX76,10,221.4,199.26
490,490,DRHY691119HHJGPI56,10,243.24,218.92
491,491,DSQB901122MXCZRS48,10,294.44,265
492,492,RVBN971218HUIKMW11,10,201.56,181.4
493,493,GVOD971229MLRGNQ18,10,278.52,250.67
494,494,HNFC991207HMGTIJ35,10,71.08,63.97
495,495,NVDK970919HZVFYL51,10,322.6,290.34
496,496,NKES991226MDQVKT95,10,311,279.9
497,497,RWQM921225MILTDM66,10,228.12,205.31
498,498,BTKS941217HVTWQI10,10,155.72,140.15
