id_viaje,CURP,RFC,num_economico,tiempo,distancia,lugar_origen,lugar_destino,fecha_viaje
93,PVML651229MFEMZP15,KVQL930727XH6,4482,14:45:14,33.35,Facultad de Ciencias,Coyoacan Rowland 0 44190,2008-09-28
94,NXVW890929MRBYKT93,PIVY941119BZ3,9125,14:14:59,3.83,Facultad de Ciencias,Tlahuac Morningstar 659 76069,2011-02-16
95,BLOA881229HWNQJZ23,JSOC901129ZA7,7739,14:58:49,7.4,Facultad de Ciencias,Iztapalapa Division 31488 19583,2016-11-01
96,UIGQ981228HAHYZP00,NEDW731227SU7,3680,13:52:05,44.46,Facultad de Ciencias,Cuajimalpa Artisan 2109 13359,2016-10-22
97,AOWV981119MHGRAP70,OJXG930928TG0,1451,14:13:05,42.08,Facultad de Odontologia,Benito Juarez Drewry 58 50722,2017-04-18
98,ODMB910919HFBTJI55,HDNX820925VG2,3660,13:17:58,35.14,Facultad de Psicologia,Tlalpan Logan 1 56294,2013-07-16
99,TZUF771208HICFPK44,SYXU921207SB8,6296,14:53:56,25.34,Facultad de Musica,Cuahutemoc Heath 1 42069,2018-08-27
100,ZNGA841208HUECDH58,BKAT711129SA6,8562,13:13:30,5.78,Facultad de Ciencias,Gustavo A. Madero Reindahl 1 98672,2012-06-07
101,CJLT961229MKTXEI61,HSEB951009EQ0,1688,13:40:01,7.53,Facultad de Ciencias,Venustiano Carranza Springs 97 43356,2016-07-15
102,XVLF751226MPGDHA04,RBGD831229FI1,7363,13:33:21,42.57,Facultad de Ciencias,Miguel Hidalgo Commercial 9847 79428,2009-04-24
103,RXVL951206HUTJFZ18,YVPK741116EA0,9565,13:58:47,40.09,Facultad de Quimica,Iztacalco American 630 15804,2013-04-22
104,SLYB881016MAWOZN42,SIUJ971009KO3,9391,14:22:05,16.03,Facultad de Ciencias,Azcapotzalco Dawn 119 70522,2017-01-07
105,QFUW951029HZBTXO58,XNWM851229LG5,6831,14:59:12,20.24,Facultad de Musica,Alvaro Obregon Sycamore 71323 10820,2018-05-27
106,OEKF721227MJOFQC63,FTHQ941209EG0,5051,14:40:08,12.04,Facultad de Ciencias,Coyoacan Center 34 99888,2011-12-10
107,ZPOL990929MTZYGD19,KGFT850929XD4,9254,14:51:36,28.3,Facultad de Quimica,Tlahuac Transport 4 52248,2012-01-16
108,DBUL701218MCFGRS59,WTMO991229KM7,1218,14:08:28,9.31,Facultad de Ciencias,Iztapalapa Waubesa 43111 79798,2015-01-12
109,MNZH751029MRMFUW01,JFVO801229QI6,9880,14:07:41,13.88,Facultad de Ciencias,Cuajimalpa Fuller 8 57152,2015-07-14
110,GIJL941215HTMYGB00,LRSD841128SO1,5738,13:53:21,21.49,Facultad de Ciencias,Benito Juarez Dwight 206 83367,2011-03-26
111,GDLU911219MGCPRV26,AGYT780919YQ4,4674,13:44:26,3.88,Facultad de Ciencias,Tlalpan Algoma 66128 67465,2018-04-22
112,PKJW961229MIBFPD80,QJNV931225HC3,8105,14:06:48,37.57,Facultad de Quimica,Cuahutemoc Rutledge 3557 89735,2014-10-16
113,UMTZ781228HVZLQC68,IQHJ750329KP6,4340,14:19:42,32.53,Facultad de Quimica,Gustavo A. Madero Burrows 805 23596,2009-01-27
114,DNJK931029HYSTBC01,SAYM801129VJ0,7685,14:41:53,0.95,Facultad de Quimica,Venustiano Carranza Carey 46 12718,2011-10-01
115,JDGH980909MQUWZL18,VQZA731129TQ8,1451,14:52:31,5,Facultad de Ciencias,Miguel Hidalgo Welch 61 56890,2017-02-22
116,FWTD741108MBVAGL41,AZCY830826GZ3,1812,13:36:10,37.5,Facultad de Quimica,Iztacalco Sutteridge 76 79312,2015-09-25
117,SIBT970909MKDNIF58,PQBO951209RB5,8557,13:37:39,6.54,Facultad de Psicologia,Azcapotzalco Maywood 7611 56835,2009-07-11
118,ROXP681229HKEFYZ49,PNKA981019UX9,8078,13:12:11,1.48,Facultad de Ciencias,Alvaro Obregon Hallows 111 65333,2012-05-28
119,KBWX841229MBKXUV85,RDPK981209SZ3,9709,13:22:06,37.74,Facultad de Ciencias,Coyoacan Stang 860 19403,2012-07-20
120,FJPH631218HJIPBK41,FACJ991119OH1,5046,14:06:35,18.4,Facultad de Odontologia,Tlahuac Texas 7 36088,2017-02-17
121,MTNX881207HZDXUY85,BMXH911129YR3,9312,14:43:56,21.18,Facultad de Psicologia,Iztapalapa Forest Dale 61 85567,2018-10-09
122,YSXH691208HPOHDK14,UOXV701207WV5,4215,13:35:44,7.2,Facultad de Ciencias,Cuajimalpa Comanche 40449 16939,2009-12-26
123,ZFDC611116HJWVAI36,YEAQ921118BK0,1840,14:56:46,36.23,Facultad de Quimica,Benito Juarez Drewry 46172 68297,2010-01-11
124,NYWD881229HESNAM67,QVJM991027LY8,6024,14:15:52,17.29,Facultad de Quimica,Tlalpan Killdeer 0 51854,2011-12-04
125,SMDL911208MPIORZ03,XIQN931228CR7,2225,14:30:20,13.52,Facultad de Odontologia,Cuahutemoc Anzinger 63708 66881,2016-04-28
126,EKVB811229MOKVJA55,MFXQ831018AT8,9627,14:32:14,34.08,Facultad de Musica,Gustavo A. Madero Fuller 53222 18681,2013-11-03
127,LVKE910925MFLBDH57,UOIM951007UD3,3909,13:04:34,36.37,Facultad de Psicologia,Venustiano Carranza Summer Ridge 8 32127,2008-07-15
128,INWB851219MAGCEY90,QBRU871119NX4,6924,13:35:37,6.49,Facultad de Psicologia,Miguel Hidalgo Mariners Cove 4054 45136,2013-08-07
129,KRLV871228MCZYHS63,YCBW981128UV6,3994,13:17:48,30.2,Facultad de Ciencias,Iztacalco Bartillon 14138 31432,2018-10-26
130,NTIM851209HZYQXB67,FAQL921229CY9,4843,13:18:36,31.05,Facultad de Ciencias,Azcapotzalco South 93195 89240,2015-03-27
131,ZPYO641219MHTWXK76,CPRO901228DM1,6177,14:03:44,30.05,Facultad de Quimica,Alvaro Obregon 7th 54718 36791,2012-05-23
132,NBGS981129HATWCE84,KTRF741216DW7,9409,14:20:56,26.48,Facultad de Quimica,Coyoacan Katie 8 27737,2015-11-23
133,PKMR601108HQOLNJ41,PXJU951027OW8,8419,14:00:46,8.42,Facultad de Ciencias,Tlahuac Clove 11 73416,2018-05-25
134,USQV811207MDZGUS43,VEFQ691228UN5,6874,13:39:49,26.22,Facultad de Odontologia,Iztapalapa Rieder 7461 14680,2014-12-27
135,ZQME611219HXPYRG84,GBUL921218TD8,8780,14:53:08,35.98,Facultad de Quimica,Cuajimalpa Sunbrook 5 92484,2009-04-26
136,SWGJ930909HRZOPB19,UCTO951228GB4,1451,14:34:54,21.43,Facultad de Psicologia,Benito Juarez Fisk 9 62325,2010-08-28
137,MRDG971219MYSAKX03,EHUC960129NH9,2539,14:44:04,43.33,Facultad de Psicologia,Tlalpan Ridgeway 3 28714,2008-06-01
138,QAGW911227MEQOTJ94,EMZQ681228PF6,1055,13:50:21,12.86,Facultad de Quimica,Cuahutemoc American 4 28277,2011-10-15
139,JCFZ950914MLBXUQ02,TXFY911019HR7,1583,14:34:25,12.77,Facultad de Quimica,Gustavo A. Madero Doe Crossing 7 40513,2017-11-07
140,UAQJ611108MMOVYE06,THYX751226CD8,3826,14:40:42,26.42,Facultad de Odontologia,Venustiano Carranza Sunbrook 59 83429,2013-02-03
141,TOBP691227HCUVHX13,RELK831028KQ6,5188,13:00:38,38.9,Facultad de Quimica,Miguel Hidalgo Gulseth 89222 27215,2015-10-04
142,MTSV951118HDFHLX50,YSPL681207JP8,5396,13:49:11,44.47,Facultad de Ciencias,Iztacalco Portage 2 48113,2017-10-13
143,JLCA831229MZOHLB30,HIWQ811209VJ3,6091,13:50:37,17.45,Facultad de Psicologia,Azcapotzalco Leroy 5 43699,2011-12-15
144,ITGZ751217HMXTNV87,PMKA941229NG5,2340,14:42:53,34.67,Facultad de Odontologia,Alvaro Obregon Fisk 40125 42765,2017-12-18
145,KXYW961017HMWZNO10,IXSG761119SI3,1322,14:31:47,42.21,Facultad de Ciencias,Coyoacan Sullivan 14 71804,2012-11-25
146,VXQC601207MXIEKN39,HTBW891019XJ7,7185,14:44:13,43.29,Facultad de Ciencias,Tlahuac Hoard 788 13565,2016-07-04
147,EBDY671107HQAWJT62,DOMA981229KP1,9937,13:02:50,36.23,Facultad de Ciencias,Iztapalapa Jay 142 96133,2014-11-01
148,PMVT961219MLCZKV70,IUBM600714PN4,6200,14:29:03,23.93,Facultad de Ciencias,Cuajimalpa Memorial 851 49806,2017-06-15
149,ZRTC921229HXPVFZ46,ISOG871228OD7,5453,14:47:01,37.72,Facultad de Ciencias,Benito Juarez Upham 7408 22736,2013-03-17
150,GQMK941019MGETJX58,ZBPQ951229ID8,4819,13:53:54,24.55,Facultad de Psicologia,Tlalpan Hagan 890 27164,2015-10-08
151,VXME771127MNKXIO12,KXPG601218DP7,3538,13:44:13,36.03,Facultad de Medicina Veterinaria y Zootecnia,Cuahutemoc Gina 94991 56502,2013-08-07
152,TPGY961228MBIWJK60,UBCP881208VS1,3281,13:35:59,5.2,Facultad de Quimica,Gustavo A. Madero Coleman 38213 93619,2016-04-19
153,QBFN811018HLVKHN77,FIBH901229OS2,2491,13:24:28,16.76,Facultad de Psicologia,Venustiano Carranza Loftsgordon 9093 54186,2018-07-07
154,STMH981229MGERBN63,LUTP711227KM0,6119,14:39:45,13.12,Facultad de Ciencias,Miguel Hidalgo Bay 517 23073,2017-02-16
155,TNHK661128MDANMU40,TBIA991106LR1,1451,14:46:11,20.06,Facultad de Ciencias,Iztacalco 2nd 9223 62192,2017-07-05
156,YOHU851229HGEPQB61,QVIJ980909HO2,1543,13:02:32,38.33,Facultad de Ciencias,Azcapotzalco Union 4 81721,2009-02-01
157,KEUN810928HNYEQX26,WIKD950929RO6,2032,14:04:15,41.89,Facultad de Psicologia,Alvaro Obregon Oxford 99841 36591,2012-03-23
158,WIBD911029MNCEWI17,RGOD821219JN0,1043,14:32:49,24.96,Facultad de Quimica,Coyoacan Dryden 968 76149,2012-11-15
159,WIUN951219MFCDKL03,RPJZ841219VS7,6750,14:45:39,21.06,Facultad de Ciencias,Tlahuac Old Shore 3 31699,2017-09-21
160,PJQR751109MYFZXA71,XAVR691227WJ3,1951,14:44:08,21.02,Facultad de Psicologia,Iztapalapa Glendale 67 78117,2017-10-05
161,LXOM821219HMBECO52,XGFO911129MW6,8295,13:51:47,17.01,Facultad de Ciencias,Cuajimalpa Troy 457 75018,2009-10-07
162,IMHU731018HUPJQX83,LMUR851218CU6,2975,14:03:16,18.69,Facultad de Quimica,Benito Juarez High Crossing 567 48506,2015-09-06
163,FCKE901119HNCELW12,QECL960908BQ2,4103,14:22:46,20.54,Facultad de Musica,Tlalpan Packers 6658 31935,2015-11-03
164,XYWE921209HUQBPG77,WDRI971018CM8,7601,13:11:50,42.31,Facultad de Ciencias,Cuahutemoc Dakota 1922 50538,2017-03-11
165,BUTP631117MOSCZL18,GYJW991019OD7,4176,13:59:29,30.33,Facultad de Ciencias,Gustavo A. Madero Spaight 7752 69533,2011-01-27
166,UGDF621229HBISPK63,MHLI910726AL3,2688,14:25:59,9.75,Facultad de Psicologia,Venustiano Carranza Harbort 4024 61426,2018-05-03
167,HLYZ901229MTWHLU69,XIHS981217PF0,5721,14:40:25,13.87,Facultad de Medicina Veterinaria y Zootecnia,Miguel Hidalgo Kings 55950 89589,2016-12-29
168,ZIET980915MKQXJS70,GLKT860928NV4,6452,14:57:15,12.62,Facultad de Odontologia,Iztacalco Chive 9870 56718,2011-09-09
169,SQBM901208HOZIYM53,SOQA860829OZ0,2408,13:55:26,1.42,Facultad de Ciencias,Azcapotzalco Dottie 0 33484,2015-12-26
170,BNWO621126MUOKLA66,DHNR951209RF7,6477,13:43:17,0.53,Facultad de Quimica,Alvaro Obregon Pleasure 31 74415,2014-07-03
171,NQIY931229MQTPCJ46,RQCO801229DF3,6654,13:17:36,12.7,Facultad de Ciencias,Coyoacan Monument 974 16249,2009-06-19
172,FMCZ780919MZYSQX78,VBCO901229WN5,6334,14:08:03,4.59,Facultad de Odontologia,Tlahuac Susan 46633 97663,2011-05-29
173,QNFP921108MCAHUM42,TIEF921219KQ3,1866,14:48:04,2.89,Facultad de Ciencias,Iztapalapa Morning 13982 96128,2013-08-17
174,IOXV930819HGPIJL80,ZBMU991129PJ0,7238,14:01:40,33.7,Facultad de Ciencias,Cuajimalpa Armistice 799 50595,2010-10-14
175,NDQZ741009MFBWQY90,YRTK740709GQ4,2299,13:21:08,19.94,Facultad de Ciencias,Benito Juarez Beilfuss 7 73759,2015-09-03
176,CORZ901229MCWLTG46,YJIE891129UZ5,2595,14:23:02,13.48,Facultad de Quimica,Tlalpan Valley Edge 2214 75102,2018-04-24
177,LNPA981229MFSOWJ38,CGJA921219LT5,3272,14:05:32,15.54,Facultad de Ciencias,Cuahutemoc Swallow 67 36499,2013-12-27
178,FTQY951229MKOVQJ76,WNKR920829TD3,3558,14:12:44,1.34,Facultad de Psicologia,Gustavo A. Madero New Castle 7 94500,2015-03-10
179,RASM971227MKBXRE10,QIDN831229JH1,4525,14:46:35,11.75,Facultad de Ciencias,Venustiano Carranza Kingsford 82451 19856,2018-08-31
180,KWFB971228MFRXVE56,GIFB801209SJ4,3868,13:31:26,37.95,Facultad de Medicina Veterinaria y Zootecnia,Miguel Hidalgo Forster 38 45864,2017-05-27
181,DAIF861127MZFYEC56,CBWG791218ZP0,7810,13:53:51,40.05,Facultad de Quimica,Iztacalco Messerschmidt 6 84256,2017-12-31
182,TONA801209HGSJNO12,TBJE901218NX5,9283,14:05:13,36.92,Facultad de Quimica,Azcapotzalco John Wall 2694 10028,2017-12-06
183,CMEX941229HNZVIB33,CILX821219WH6,1712,13:27:36,7.34,Facultad de Musica,Alvaro Obregon Fairfield 359 88326,2016-05-22
184,MPRV941129MJLKXR36,INOQ821208WH3,6489,14:37:29,16.07,Facultad de Ciencias,Coyoacan Logan 3 17970,2013-08-27
