CURP,hora_entrada,hora_salida
LVKE910925MFLBDH57,11:55:49,20:34:07
INWB851219MAGCEY90,16:31:36,20:55:42
KRLV871228MCZYHS63,7:05:17,21:43:39
NTIM851209HZYQXB67,13:36:47,21:18:37
ZPYO641219MHTWXK76,20:41:30,20:50:46
NBGS981129HATWCE84,8:19:57,20:51:28
PKMR601108HQOLNJ41,13:04:04,20:57:53
USQV811207MDZGUS43,11:18:14,20:44:21
ZQME611219HXPYRG84,15:34:53,20:07:12
SWGJ930909HRZOPB19,20:40:34,20:38:57
MRDG971219MYSAKX03,20:58:18,20:12:00
QAGW911227MEQOTJ94,16:09:59,20:55:57
JCFZ950914MLBXUQ02,15:47:51,21:54:58
UAQJ611108MMOVYE06,17:58:11,20:13:54
TOBP691227HCUVHX13,16:20:43,20:26:58
MTSV951118HDFHLX50,12:28:43,21:30:25
JLCA831229MZOHLB30,18:18:05,20:53:39
ITGZ751217HMXTNV87,8:14:38,21:33:47
KXYW961017HMWZNO10,11:57:08,21:36:55
VXQC601207MXIEKN39,13:21:23,20:44:27
EBDY671107HQAWJT62,12:49:18,20:24:19
PMVT961219MLCZKV70,14:24:56,21:10:34
ZRTC921229HXPVFZ46,11:29:13,21:44:08
GQMK941019MGETJX58,16:46:42,20:07:09
VXME771127MNKXIO12,12:58:35,20:55:17
TPGY961228MBIWJK60,12:08:02,20:17:31
QBFN811018HLVKHN77,13:03:27,20:31:15
STMH981229MGERBN63,14:47:57,21:29:04
TNHK661128MDANMU40,18:34:10,21:04:03
YOHU851229HGEPQB61,13:19:25,21:53:58
KEUN810928HNYEQX26,11:27:24,20:46:12
WIBD911029MNCEWI17,7:33:09,20:01:57
WIUN951219MFCDKL03,18:52:59,20:48:22
PJQR751109MYFZXA71,15:43:39,21:07:39
LXOM821219HMBECO52,18:24:10,20:35:11
IMHU731018HUPJQX83,13:22:19,20:03:55
FCKE901119HNCELW12,8:53:15,21:27:27
XYWE921209HUQBPG77,17:32:50,20:37:24
BUTP631117MOSCZL18,19:32:41,21:19:00
UGDF621229HBISPK63,10:41:57,21:37:02
HLYZ901229MTWHLU69,11:32:10,21:51:51
ZIET980915MKQXJS70,17:06:43,21:57:33
SQBM901208HOZIYM53,18:43:48,21:43:16
BNWO621126MUOKLA66,10:05:12,21:53:49
NQIY931229MQTPCJ46,12:42:03,21:16:42
FMCZ780919MZYSQX78,19:17:49,21:38:35
QNFP921108MCAHUM42,16:25:25,21:57:47
IOXV930819HGPIJL80,19:15:55,21:27:31
NDQZ741009MFBWQY90,17:05:44,20:43:52
CORZ901229MCWLTG46,15:39:22,20:44:07
LNPA981229MFSOWJ38,19:12:03,20:08:53
FTQY951229MKOVQJ76,8:40:47,20:09:16
RASM971227MKBXRE10,19:10:39,21:40:57
KWFB971228MFRXVE56,13:08:09,21:51:40
DAIF861127MZFYEC56,8:05:19,20:19:15
TONA801209HGSJNO12,7:28:29,21:47:18
CMEX941229HNZVIB33,15:38:48,20:51:50
MPRV941129MJLKXR36,15:26:02,21:24:39
MJUA820708HTYWAQ64,10:36:26,20:17:08
CSZU751229MHLYDA84,14:02:15,20:24:26
FJHY861107MQVWSJ41,17:55:58,20:20:05
MOVT931218MYTNGX57,10:51:25,21:29:52
IXBR961127HLAPMG72,19:16:49,21:54:59
NSLI911029MMUDBX31,14:44:06,20:24:22
TIVE970919HWEMCV40,16:00:47,20:18:24
SEUI911128MKTGXS81,16:18:44,20:42:26
WQPT811226HCYTJD87,17:09:33,21:49:18
QKCM921109HQDZBP19,20:02:43,21:36:05
RTDH801117MMTUAH61,7:15:04,20:42:43
SZHX991027MAVWTI21,13:58:06,21:56:20
KEJR631229HUBCRA31,8:50:11,20:28:23
FUYS961229HONQSI77,13:20:31,20:56:23
OGDM871229MBXIDO52,15:41:20,20:50:26
ILCX911126HDCKXS74,18:50:29,20:05:05
DVHR901228HNHLVQ01,16:30:50,21:01:06
CFSO850828HKRTSM51,15:25:54,20:17:58
YLRN811209MJBGPD57,12:23:08,20:44:36
UTFW951219MREICZ35,20:00:03,20:55:33
RNYS690919HTBADY79,19:34:43,21:32:45
BGEX991106MSEPTF65,12:05:20,21:19:00
BNQZ941218MKYCBU73,10:13:57,20:21:55
QRNX911107HHUJAP88,15:15:26,21:33:34
MGXP951207HNLKUX93,15:54:45,21:13:34
SLGJ960909MQWCTY08,19:15:55,21:48:25
IEQD791228MQGTEV14,9:04:05,20:11:16
JTNQ931107HZWQIF67,15:23:45,20:55:03
UDAT671229MZFRQI40,15:00:37,21:47:24
LTZS981216HJCSKW53,9:46:46,21:32:55
QRWL921119MNXOUP33,19:25:31,21:06:45
LZHC970829MKCRLM10,11:37:25,21:48:51
CXWF981209MFRLSZ15,11:03:07,21:31:48
LFCA961227HMYJCD11,17:06:09,20:29:52
AOSN691128HPKALM02,13:21:52,21:22:25
BSEL831209MLKIJP58,18:44:11,21:59:06
TUNI991219HULZSF36,11:03:05,20:01:08
NAHQ891219MCVSMZ43,18:49:26,21:51:47
YBOL651128HYVWZF33,7:34:46,20:42:38
JYHA831127HBSPIW41,15:27:31,21:36:49
UZRL881109HAYHJI74,13:54:11,20:55:35
VHDK791229HHACJV10,17:54:24,21:24:49
BJAF781129MEYGVS54,11:52:54,21:29:59
IXMR961106MCKNVZ60,15:39:22,20:20:53
GKUH971218HKBSLW86,9:08:35,20:55:31
FTLN641229MVBAJX53,9:28:04,21:58:27
VOBY730819HCZMRU45,14:46:23,21:39:19
IRBE911209HXLTDJ74,7:10:14,20:08:49
DOWH850828HTMQOP39,8:24:06,21:09:38
XCDA930817MMYURO98,15:28:04,21:42:33
VXTI930909MSHMLP91,18:51:10,20:26:21
VMCD931209HNOCDT75,9:03:47,21:49:16
KWTQ871226HWMHKX69,12:25:38,21:54:01
XHCS851218HZIXCR99,10:01:08,20:00:31
ZDWO911126MBYKRI73,11:19:27,20:59:44
NYDL811227HOHVDM00,16:16:37,20:17:16
PUJL961007MVXOMB84,13:39:36,20:15:19
ZGTI981228HKVEWR82,7:25:21,21:35:56
PNBT831129MJRCXL45,16:24:06,20:28:36
WAVB981107HFUJKR10,10:15:29,20:42:44
KBFM801219MKJBFC71,14:20:37,20:02:58
NAPX991009MBPEKY58,7:16:00,21:41:36
QDAV861017HUMIKS38,20:12:46,20:36:46
KDTB950928MDCKPO22,20:07:12,21:11:50
IAUJ861128MTEIFR78,12:42:18,21:46:53
XVCK831229MECGTR27,14:14:40,20:24:37
CGOQ901129MKLUEB43,9:15:20,21:44:17
XFKS881229MGIXLH16,8:42:13,21:43:55
CTXP911129HYJVKX72,8:57:56,21:32:00
VMCX821107HHZAXU08,20:51:43,21:56:32
DWRY800828HVDGXQ51,18:25:28,21:12:55
YKOQ851029MGTHCN83,17:09:49,21:05:36
TNGM951209HVMAFZ45,13:51:15,20:15:16
ECKG951208HMKGVC94,17:38:58,20:35:36
IDVG721119MOYJSP34,19:03:02,20:38:38
THGF961009HLSIFW46,17:28:58,21:57:04
SYUD831119MWAJMI24,14:54:16,21:51:32
MLPR951028HHWJYO98,11:00:21,20:59:07
RLNJ721219HPQKLT04,17:10:36,20:42:24
WGOE851225HSPWAN78,20:18:05,21:12:30
ZSQU991118MHWUBL02,18:08:45,20:37:32
WZRH741227HBQDIA96,18:01:34,21:05:08
BOSX921029MGEPUK91,13:10:23,21:47:01
KTYX991218HQPHLY17,14:06:33,20:45:27
LMJY941129MYIJKQ89,8:18:29,21:58:01
WNYQ821229MYKXJD09,15:07:25,21:59:53
YKWN631209HXGMKC56,13:03:24,21:06:09
KQHD741219HODWGU62,9:15:30,20:39:15
UDJC631228HOANXZ03,15:00:03,21:01:54
XHRW961206HVTRHB06,19:22:45,20:27:54
WEOH681001HJZXOP48,14:58:14,20:17:58
WQUZ951226MRQWPU54,11:47:19,21:48:53
VHCF981228MUXVTS68,7:21:27,20:31:30
GFCL731209HEVHTO79,18:38:12,20:57:57
ITAB891208MNWXAY69,9:28:23,21:17:33
YDCE631029HGFQCW32,15:21:28,21:14:51
UQFB731018HYPAKN69,18:47:37,21:36:23
KEPY951129HJIRHG10,14:14:01,21:22:07
NMEV921208HAQYNP36,17:00:54,20:38:22
QZPR941218MRQMPA70,13:30:47,20:50:39
FXNK641229MUQAZE44,9:55:25,20:52:19
TCJI991118MFXHMP09,14:51:21,20:55:02
QZXO951018HRTVZX90,17:34:31,21:51:19
QBVF921208HXVKTR71,10:12:57,20:31:31
OCEV891228HSMXTE52,9:48:39,20:12:17
FJNX961217MAJWUS22,15:44:22,20:01:58
WIUZ941019HVQJOE94,8:20:12,20:26:05
EWAQ971127HDIBYT25,15:19:16,21:04:36
NUGD881009HEBUIN30,8:40:03,21:27:39
TIVK991029MXYDUP07,11:35:39,21:17:56
PNYL691109HUFAYC98,14:07:20,21:46:37
ZUGN981228HPYBXO82,7:20:16,20:13:59
VOKF701009HMKTPA07,16:33:11,21:14:26
PIRN861229HGOENV00,18:03:35,21:33:07
XRJD991208MKVEBL83,20:09:44,20:16:54
VTQI701107HUWKSG82,16:47:29,20:05:10
JXON740928MDKOYC32,11:16:17,21:47:28
IFYT901218HHTKEJ32,17:58:00,20:44:30
FWCA671108MSIYGJ00,11:30:27,20:41:14
ZOCH941029HWUEOD86,19:31:37,21:22:31
ZBFV900919HUVLFM93,9:06:12,21:35:19
KHZP741219HNRVUM07,14:37:29,21:29:39
ZGBF871026HWCKXO42,16:16:21,20:23:05
EHIP911128MHNBJC68,10:26:06,20:34:32
ZCWG690729MZWISK53,14:24:05,21:00:28
BFLP721229HIFWPM47,17:00:45,20:53:36
GMZT901019HNSAZH63,20:37:04,21:53:25
YZEL770929MQHDUT07,13:08:19,21:07:43
LPSR940909HTUZAD24,7:16:57,21:31:14
IFDB811028HDEHRA50,11:40:38,21:47:44
DPVW710923MYDEVI91,8:27:44,21:49:06
AQBC821127HAYNMX06,20:38:46,20:12:39
LRBD871028MRWPLE37,13:06:31,20:28:25
SNOW681129MLJBNV87,20:50:41,21:10:41
FMUV851218HEPASD72,18:49:12,20:07:39
XBGC831008HKNJMT64,13:46:59,20:56:51
YPDB991209HWZXSI58,16:11:07,20:36:21
CBEK971219MGHCLI03,13:33:51,20:36:58
NMZH901229HIOHYN81,8:22:28,20:47:18
JSAX801219MVGIUB65,20:35:07,21:37:27
PWQF960919MHWXGE90,8:49:18,20:48:12
ZGAE671209MBLKGV24,18:49:29,21:57:50
VPQY941027HGXJQV72,13:25:02,21:36:30
ICMJ651207HUPDJG49,10:19:05,20:59:31
ZHJA931129MSEKVO26,19:32:03,20:45:36
JCIO921109HVCIFZ04,13:56:39,20:25:17
TEMS751119HLQCVS31,16:54:20,21:36:47
KWVX691228HEUKQG58,19:39:38,21:38:27
WBCS890728MSHBXF30,11:32:31,21:29:22
YFKX981229HTWAFJ22,15:57:55,21:51:35
KABN850919HAJKMX61,13:13:13,21:56:03
RZUT881019MNEWPV48,19:26:15,21:30:19
XROU961129HBVHQO76,8:46:35,20:47:22
JYXR971127MVKYOW60,14:30:41,21:17:46
XIYM821127MMCXQG26,8:57:01,20:37:30
JFVT601228MUPGNI72,17:16:30,21:11:31
DCWG981229MSVBIG52,13:42:43,20:07:15
GHMZ761107MZDGIY12,9:09:19,20:24:44
GVMH961029MEXRGV82,16:59:08,20:54:10
TLAI681209HVMEWX00,9:05:35,20:13:09
YUWH951117MPJXVQ82,15:34:59,20:41:06
QCBU921125MRJCUP59,13:42:27,20:32:37
LSNZ921109MRGBNE87,18:18:25,20:46:48
YVNR741229HRWPUZ78,18:27:04,21:55:34
QNXU911209MZHXDV16,19:03:58,20:36:12
WILC991008HJDOGQ47,7:25:05,20:32:17
FAMV980926HTCKHJ47,13:14:07,21:20:27
AYWG801019MRUXVC39,9:18:28,21:33:36
NKIP901227HTQGKP20,9:04:23,21:13:14
NTOU611028HCJXFZ41,19:33:12,20:15:51
ZMIR621129MYGLNS10,7:34:19,20:13:03
UTER991228HIPRWD15,20:19:18,20:46:12
BTZJ621119HKIDTL72,16:10:21,20:26:21
IJNY871229HHEDTF23,13:00:14,21:32:14
MLQW671009MBYQEV14,9:24:43,21:34:15
VQXB781128MSNITK26,19:57:13,21:29:53
FYIG971129MOESJR72,20:19:15,20:46:26
RYSA951128MVMKHT72,13:37:30,20:05:07
RKWN991218MOLYWX24,14:33:29,21:25:04
KUYP701129MLTDPI28,16:35:24,20:53:46
IWPC911218MDSFWA85,13:23:01,21:36:03
IYTR941119HOFHGP94,9:46:18,21:58:13
XKIV941228MUDOHM72,13:06:32,20:16:08
WVPO851229MUXNFZ07,8:11:35,20:48:23
HFOR911129MWVMKF91,16:05:17,20:50:22
DKCW711117HEZYDC67,14:45:13,20:11:47
DAOE691229MYJUNX08,12:41:37,21:14:36
UHZB941219MMQPUS31,18:38:54,21:57:36
VADO641209HHVFTU01,16:53:47,21:48:51
YNDP891209MDCRZQ86,18:08:30,21:29:44
NAFB941009HDRMWQ24,15:46:58,21:52:08
SGIZ921219MSTZAH92,11:21:22,20:39:08
EOFW991028HTBHNI23,13:03:40,20:52:25
PFMR860807HPZQKH43,8:33:14,21:30:03
RGJQ861106MLUWDC13,12:36:10,21:39:20
WJFO901217MVCGNI29,20:04:33,20:22:01
FVZU931219HOGJKL82,14:56:01,20:49:42
OXPD901117HSTOEP09,9:29:06,21:54:50
ZSMJ910528HOVJYB93,19:07:03,21:21:22
RLYC741129MEDYFO31,8:48:27,21:09:49
MJZH951028HTOGUZ16,17:53:40,20:02:22
WLAQ991104HEAMGZ58,9:38:31,20:25:40
KPBH631119MZVTNK35,8:48:41,21:39:12
CYVQ641128HOPMIB40,15:48:07,21:18:02
HDBO641227MNAULQ86,11:50:36,21:02:56
NQKS950906HEVABY30,18:43:23,20:07:39
ACJY870702HKJWMY13,18:55:25,21:41:30
UHDO941119HKAFDW31,20:11:31,20:59:01
THVK961209HDQLAM47,16:25:40,21:40:05
CWDN631209MWTUZL59,11:01:36,20:27:42
NTWZ881225HZHGAM67,11:16:34,21:25:27
HBVT831109MRJOSA14,10:23:56,21:46:58
ZTAY941228MLSCFD30,12:17:16,20:13:14
WMDI631209MVNYDQ58,11:50:38,20:07:22
FHVM921016HGIBDN99,9:05:52,20:09:08
ZHJM771018HLZWXO00,19:46:28,21:01:19
OUKL991226MRKCXV55,7:44:13,21:57:33
GAHP931227HXUZWQ69,20:08:04,20:36:46
DSNQ901228MYCXVE00,7:01:01,21:51:00
WQVO611209MBHKYM49,20:36:20,20:28:34
WCAF851208HPADKY78,9:51:53,20:16:09
TNXW901219MXAZVE68,13:06:42,21:34:08
QMXV601128MGHLIQ98,14:06:04,20:33:58
KMFP991008MBYXGQ83,7:05:59,21:00:43
ISMW601128MPBHKO24,13:21:31,20:56:27
ZOXW951129HVGUCS84,17:39:49,20:09:07
VHWS980929HNPTHC55,19:32:50,21:33:37
FJRC971229HKMVWZ59,18:30:26,21:29:52
SCHK871229MOABDP17,17:23:37,20:26:41
RQLX901126METWKC55,20:26:26,21:13:15
HXFQ751009HPOXEU83,13:06:19,21:52:59
ETUM961106MGTQBH54,16:52:11,21:01:25
YKIS631029HAFQJZ04,17:14:56,21:06:59
LQVB661229HZTPHY53,17:21:52,21:32:25
PXTC721123HERMYU81,8:05:53,20:15:33
ECYR820709HBWFLQ87,17:14:00,21:23:43
BHMZ681209MTXVHC60,12:07:53,20:22:35
GVQP791128MUXBEF24,13:20:43,20:51:38
OLBS640729HJIXKB11,15:56:41,21:31:33
ELFW801117HCFANQ79,17:46:46,20:05:19
AHDI900629MIOSKH24,17:03:02,20:17:41
EAKQ980607HWXOGV75,20:27:30,20:25:49
NCOU791119MLBVND29,12:53:29,20:04:48
AYRZ711226HVOAXJ62,9:00:14,20:16:29
QSEX921209MGDPXU20,20:46:37,20:00:40
WAUC601208HQWNJS80,20:10:17,21:47:09
JFBM801204HVGXNS61,10:39:57,20:42:06
PLCU941129MHQMOL57,12:41:44,21:47:43
HANU901019HICYNS20,8:12:25,20:49:51
MBPN731209HYUMPN01,15:16:18,20:28:15
AWDM890809HVOYNB70,16:08:08,20:21:53
NLZX950629MEBQXJ79,9:13:54,21:32:51
MHXB671205MVBWEP12,9:47:50,21:32:16
BYFG871229MSUZIF88,14:55:04,20:35:47
YPOB901209HJINPL52,15:32:39,21:24:04
QWGR661129HCKMNW13,17:50:34,20:46:18
DENB921229MVJPEO83,15:10:11,21:51:27
FDQL910906HMHGBL35,10:40:28,20:12:44
EILW811207MZIMGD13,9:57:02,20:08:11
RNCX991229HCGFNO16,17:41:08,21:45:51
IAVS891128MIQYZJ60,8:41:26,20:00:33
QLWX921219MMQZWF22,18:07:20,20:54:53
YLSB990919MEQBDW91,12:26:44,21:40:51
JYGH991027MYRZSV61,19:41:35,21:13:34
DXUZ981229MPHKRU29,16:17:32,20:04:32
BUKT971129HDKCBF25,9:12:12,21:36:52
HQDY601219MQYPIZ64,17:45:17,20:36:00
FDVS921029HTNKWG83,16:58:20,20:11:43
BVUM861129HWTGOR68,7:15:37,21:33:29
HMGC920909MFRUOZ54,13:22:36,20:39:55
GOCD981228HLQCVF65,12:35:27,21:17:02
NHVL891019HJBMTX59,11:50:44,20:37:24
CWNY961229HGTLZI36,8:14:16,20:33:10
VEQT611228HOPGBJ12,20:57:20,21:40:18
GCMP901229HFHEDN49,12:46:39,20:53:36
RCUV871108MEPWGY29,19:33:55,21:15:42
FAVS721226HVDJEI36,11:06:33,21:22:58
RUJX931218MPKWIJ68,17:05:27,21:52:39
KFNU921109MRCMOA18,12:16:13,21:58:37
JQBX991207MLWSHN94,15:52:56,21:22:24
JLVX991225HFVKPC91,19:42:26,21:39:42
LKYU931219HBLITQ57,9:04:51,21:09:05
KCHU791219HUMCLS84,17:22:01,20:29:46
UQNX991209HVLHMC65,11:07:08,20:20:04
XLTW821228HKMXHT63,12:11:33,20:33:53
GYEA821207MXPLVD09,9:27:18,20:21:50
MDTY981219MPQRBE03,9:51:14,21:26:37
JGPX881208MJIWFH80,11:11:02,21:24:28
IEPM781225MLUSEK48,10:10:41,21:34:58
DUXB961105MJTRWA76,11:59:02,21:13:41
KCJX681219HENAYM35,8:53:17,20:33:44
DMOV770826MBTVZQ47,18:47:41,21:04:48
VOZM671227HURYME68,19:19:32,20:13:42
CXIQ781009HTUJQV55,11:28:02,20:11:31
DIRW880927MENUIA14,14:43:22,21:13:17
JKQZ821217HPFTJX48,7:46:08,21:12:12
QGEI951229MOQGLZ49,14:14:17,20:15:52
LETQ750929MAHEGK14,13:09:48,21:11:11
OVLI921119HMZUKF94,13:57:58,20:34:20
HAMK891009HJYNXB24,9:40:25,21:24:31
ERUM861129HRSVMA37,15:39:51,21:50:03
JUSI651209MODBHA43,19:39:38,20:30:18
YPAO701227HOQHNY52,12:43:24,21:04:00
AUNS831029HYZMPN90,15:51:34,21:20:56
EXQA791227HGAPZX76,8:46:03,21:57:22
DRHY691119HHJGPI56,12:05:53,20:10:52
DSQB901122MXCZRS48,20:32:56,20:12:46
RVBN971218HUIKMW11,16:48:50,21:05:30
GVOD971229MLRGNQ18,17:50:00,20:48:01
HNFC991207HMGTIJ35,17:02:42,21:42:27
NVDK970919HZVFYL51,17:23:48,21:55:53
NKES991226MDQVKT95,17:13:29,21:18:10
RWQM921225MILTDM66,15:02:40,20:57:34
BTKS941217HVTWQI10,15:45:46,20:45:31
YINS881219MUQICG99,11:55:44,20:49:53
WCDV860829MILFTD86,12:54:56,21:45:51
PJGS601209MGNULQ22,20:01:34,20:40:32
YMLK991209MBOYCP99,17:25:01,21:38:26
CNUQ921028MVAKRG71,13:38:26,20:06:41
PXVC921119MFPGNC07,11:26:17,21:26:48
RQOK691208HJFGPM24,18:43:43,21:37:37
YADO661228MRVMAZ03,11:39:02,20:13:41
RJWL911206HIQVKF92,17:20:45,20:16:31
WGYZ771226MGXBCI24,12:37:39,20:58:49
EKTU641108HUWBPK65,16:47:29,21:41:57
JHPF931118MVFLSM97,15:20:08,20:02:29
WAYQ981229HRBUJH30,15:21:00,21:33:32
NIBF901228HMLNBE71,20:55:25,20:28:16
BUVC911229HVXHYG64,20:28:53,21:31:29
OYFJ791117HYBPDO10,9:26:45,21:08:28
ZNOY821009MYLSKE85,14:00:16,21:03:07
URXZ621218HGYMJR71,11:48:03,21:34:26
BWEJ991127MKZOPF10,9:57:34,21:04:16
FCZR941029HAETXO13,18:18:11,21:43:01
PLWH941219MUJXPF87,13:39:36,21:52:09
WMAT621009HWAHKT76,14:00:29,20:46:01
AGMB790929HFVMKP82,7:52:53,20:54:06
TSOZ651228HHOAMI04,18:37:42,21:35:47
GIQA991129HTNRKM18,19:35:57,20:05:41
GRXQ991205HHSMLE19,8:36:39,21:02:20
UMOQ991209HMUJRZ62,12:25:54,20:22:31
LZKE911118HCLBEM15,20:54:11,21:23:07
ARUX961229MQSKFZ02,10:45:37,21:50:03
PCGS811226MGQPRV53,7:26:36,21:20:13
AQHX911128HSUDXA99,16:03:43,20:28:33
HWPU971229MTUJLI39,10:06:03,20:43:03
XBAT971009HPWVGD24,18:18:26,21:12:14
VOPC851019MAPSJQ04,12:59:38,20:58:08
EBIM801219HSHLVR19,20:30:28,21:05:26
CWKJ621227HZBFPO06,7:34:28,21:24:57
