id_ganancia,id_viaje,CURP,RFC,ganancia,esBono
71,71,EUXY791108HTWEJF98,SWUN881116UB9,33.86,false
72,72,QNWD951019HWEDJU66,ZMSO971204EF3,42.75,false
73,73,MSPY971216HQPLNC76,XNQS801129GH8,28.5,false
74,74,UXCQ801229HGHSDL95,IUBW621202BA4,29.73,false
75,75,BHWM711129MAIZUJ89,XAWI611208JZ6,10.22,false
76,76,CBDI981206MJBKAF91,YOIP981219ZU8,36.22,false
77,77,SYAJ911028HSZDIA63,SVPQ981228CQ2,34.77,false
78,78,LQRY961226HBWUNL97,IYUJ861208NL3,20.16,false
79,79,LJKQ871129MJWASI04,OQJU801229IG9,30.59,false
80,80,ZOGW991208HTHEMY59,YKUB950826IM8,39.54,false
81,81,DXOR611129HIAZBC82,TYLW941229QJ3,14.12,false
82,82,WJBT871028MWTDFE91,RIZK971106HY8,36.75,false
83,83,PASV921115HVGCPY62,CVUL950529NU6,27.48,false
84,84,QCTV921228MRXAID14,LCYE921219LU8,28.32,false
85,85,DSWU961208MOGBEV35,ORDS821126PI5,20.42,false
86,86,TUMI941029MVERAN50,LJYT631029FT6,37.79,false
87,87,TDBC901228HGUPZI18,XYWC991229RO1,3.13,false
88,88,SUQO621219MFAJLT48,LNFP971116GI2,29.86,false
89,89,DBJY641229HWACQN74,NEGI951229IG4,42.75,false
90,90,DMZS931127HXLFIV89,XHBO641206AB2,28.86,false
91,91,QJGA631229MENPRQ37,BRAF801227ZC0,3.67,false
92,92,MADY651229HVEUCK71,YRGI891207IT2,17.25,false
93,93,PVML651229MFEMZP15,KVQL930727XH6,33.82,false
94,94,NXVW890929MRBYKT93,PIVY941119BZ3,5.48,false
95,95,BLOA881229HWNQJZ23,JSOC901129ZA7,8.9,false
96,96,UIGQ981228HAHYZP00,NEDW731227SU7,44.48,false
97,97,AOWV981119MHGRAP70,OJXG930928TG0,42.2,false
98,98,ODMB910919HFBTJI55,HDNX820925VG2,35.53,false
99,99,TZUF771208HICFPK44,SYXU921207SB8,26.13,false
100,100,ZNGA841208HUECDH58,BKAT711129SA6,7.35,false
101,101,CJLT961229MKTXEI61,HSEB951009EQ0,9.03,false
102,102,XVLF751226MPGDHA04,RBGD831229FI1,42.67,false
103,103,RXVL951206HUTJFZ18,YVPK741116EA0,40.29,false
104,104,SLYB881016MAWOZN42,SIUJ971009KO3,17.19,false
105,105,QFUW951029HZBTXO58,XNWM851229LG5,21.23,false
106,106,OEKF721227MJOFQC63,FTHQ941209EG0,13.36,false
107,107,ZPOL990929MTZYGD19,KGFT850929XD4,28.97,false
108,108,DBUL701218MCFGRS59,WTMO991229KM7,10.74,false
109,109,MNZH751029MRMFUW01,JFVO801229QI6,15.12,false
110,110,GIJL941215HTMYGB00,LRSD841128SO1,22.43,false
111,111,GDLU911219MGCPRV26,AGYT780919YQ4,5.52,false
112,112,PKJW961229MIBFPD80,QJNV931225HC3,37.87,false
113,113,UMTZ781228HVZLQC68,IQHJ750329KP6,33.03,false
114,114,DNJK931029HYSTBC01,SAYM801129VJ0,2.71,false
115,115,JDGH980909MQUWZL18,VQZA731129TQ8,6.6,false
116,116,FWTD741108MBVAGL41,AZCY830826GZ3,37.8,false
117,117,SIBT970909MKDNIF58,PQBO951209RB5,8.08,false
118,118,ROXP681229HKEFYZ49,PNKA981019UX9,3.22,false
119,119,KBWX841229MBKXUV85,RDPK981209SZ3,38.03,false
120,120,FJPH631218HJIPBK41,FACJ991119OH1,19.46,false
121,121,MTNX881207HZDXUY85,BMXH911129YR3,22.13,false
122,122,YSXH691208HPOHDK14,UOXV701207WV5,8.71,false
123,123,ZFDC611116HJWVAI36,YEAQ921118BK0,36.58,false
124,124,NYWD881229HESNAM67,QVJM991027LY8,18.4,false
125,125,SMDL911208MPIORZ03,XIQN931228CR7,14.78,false
126,126,EKVB811229MOKVJA55,MFXQ831018AT8,34.52,false
127,127,LVKE910925MFLBDH57,UOIM951007UD3,36.72,false
128,128,INWB851219MAGCEY90,QBRU871119NX4,8.03,false
129,129,KRLV871228MCZYHS63,YCBW981128UV6,30.79,false
130,130,NTIM851209HZYQXB67,FAQL921229CY9,31.61,false
131,131,ZPYO641219MHTWXK76,CPRO901228DM1,30.65,false
132,132,NBGS981129HATWCE84,KTRF741216DW7,27.22,false
133,133,PKMR601108HQOLNJ41,PXJU951027OW8,9.88,false
134,134,USQV811207MDZGUS43,VEFQ691228UN5,26.97,false
135,135,ZQME611219HXPYRG84,GBUL921218TD8,36.34,false
136,136,SWGJ930909HRZOPB19,UCTO951228GB4,22.37,false
137,137,MRDG971219MYSAKX03,EHUC960129NH9,43.4,false
138,138,QAGW911227MEQOTJ94,EMZQ681228PF6,14.15,false
139,139,JCFZ950914MLBXUQ02,TXFY911019HR7,14.06,false
140,140,UAQJ611108MMOVYE06,THYX751226CD8,27.16,false
141,141,TOBP691227HCUVHX13,RELK831028KQ6,39.14,false
142,142,MTSV951118HDFHLX50,YSPL681207JP8,44.49,false
143,143,JLCA831229MZOHLB30,HIWQ811209VJ3,18.55,false
144,144,ITGZ751217HMXTNV87,PMKA941229NG5,35.08,false
145,145,KXYW961017HMWZNO10,IXSG761119SI3,42.32,false
146,146,VXQC601207MXIEKN39,HTBW891019XJ7,43.36,false
147,147,EBDY671107HQAWJT62,DOMA981229KP1,36.58,false
148,148,PMVT961219MLCZKV70,IUBM600714PN4,24.77,false
149,149,ZRTC921229HXPVFZ46,ISOG871228OD7,38.01,false
150,150,GQMK941019MGETJX58,ZBPQ951229ID8,25.37,false
151,151,VXME771127MNKXIO12,KXPG601218DP7,36.39,false
152,152,TPGY961228MBIWJK60,UBCP881208VS1,6.79,false
153,153,QBFN811018HLVKHN77,FIBH901229OS2,17.89,false
154,154,STMH981229MGERBN63,LUTP711227KM0,14.4,false
155,155,TNHK661128MDANMU40,TBIA991106LR1,21.06,false
156,156,YOHU851229HGEPQB61,QVIJ980909HO2,38.6,false
157,157,KEUN810928HNYEQX26,WIKD950929RO6,42.01,false
158,158,WIBD911029MNCEWI17,RGOD821219JN0,25.76,false
159,159,WIUN951219MFCDKL03,RPJZ841219VS7,22.02,false
160,160,PJQR751109MYFZXA71,XAVR691227WJ3,21.98,false
161,161,LXOM821219HMBECO52,XGFO911129MW6,18.13,false
162,162,IMHU731018HUPJQX83,LMUR851218CU6,19.74,false
163,163,FCKE901119HNCELW12,QECL960908BQ2,21.52,false
164,164,XYWE921209HUQBPG77,WDRI971018CM8,42.42,false
165,165,BUTP631117MOSCZL18,GYJW991019OD7,30.92,false
166,166,UGDF621229HBISPK63,MHLI910726AL3,11.16,false
167,167,HLYZ901229MTWHLU69,XIHS981217PF0,15.12,false
168,168,ZIET980915MKQXJS70,GLKT860928NV4,13.92,false
169,169,SQBM901208HOZIYM53,SOQA860829OZ0,3.16,false
170,170,BNWO621126MUOKLA66,DHNR951209RF7,2.31,false
171,171,NQIY931229MQTPCJ46,RQCO801229DF3,13.99,false
172,172,FMCZ780919MZYSQX78,VBCO901229WN5,6.21,false
173,173,QNFP921108MCAHUM42,TIEF921219KQ3,4.57,false
174,174,IOXV930819HGPIJL80,ZBMU991129PJ0,34.15,false
175,175,NDQZ741009MFBWQY90,YRTK740709GQ4,20.94,false
176,176,CORZ901229MCWLTG46,YJIE891129UZ5,14.74,false
177,177,LNPA981229MFSOWJ38,CGJA921219LT5,16.72,false
178,178,FTQY951229MKOVQJ76,WNKR920829TD3,3.09,false
179,179,RASM971227MKBXRE10,QIDN831229JH1,13.08,false
180,180,KWFB971228MFRXVE56,GIFB801209SJ4,38.23,false
181,181,DAIF861127MZFYEC56,CBWG791218ZP0,40.25,false
182,182,TONA801209HGSJNO12,TBJE901218NX5,37.24,false
183,183,CMEX941229HNZVIB33,CILX821219WH6,8.85,false
184,184,MPRV941129MJLKXR36,INOQ821208WH3,17.23,false
185,185,MJUA820708HTYWAQ64,HXBO641229ZU3,22.48,false
186,186,CSZU751229MHLYDA84,TWUF631008ED0,21.75,false
187,187,FJHY861107MQVWSJ41,SMID691019YD0,33.36,false
188,188,MOVT931218MYTNGX57,DMJY991229IN5,22.93,false
189,189,IXBR961127HLAPMG72,EZXG911229ME2,40.32,false
190,190,NSLI911029MMUDBX31,EDFH821208XG3,26.1,false
191,191,TIVE970919HWEMCV40,MCLV971226VH6,31.59,false
192,192,SEUI911128MKTGXS81,JBTN980927IU8,37.48,false
193,193,WQPT811226HCYTJD87,IUWP901228VM1,33.61,false
194,194,QKCM921109HQDZBP19,IFPG951209MS9,4.43,false
195,195,RTDH801117MMTUAH61,QRZO801207CX8,39.65,false
196,196,SZHX991027MAVWTI21,AFTY911228XZ5,12.68,false
197,197,KEJR631229HUBCRA31,CKZR891118LU3,15.68,false
198,198,FUYS961229HONQSI77,BVRJ931114XO9,31.71,false
199,199,OGDM871229MBXIDO52,FBXR741226BZ1,34.89,false
200,200,ILCX911126HDCKXS74,YGNJ971109ZV7,19.07,false
201,201,DVHR901228HNHLVQ01,AFDH761217FZ7,6.93,false
202,202,CFSO850828HKRTSM51,QNAC991008LJ9,34.85,false
203,203,YLRN811209MJBGPD57,RZMG841229QN3,31.96,false
204,204,UTFW951219MREICZ35,PBLQ911229AN0,32.44,false
205,205,RNYS690919HTBADY79,WQSY961229YC2,24.79,false
206,206,BGEX991106MSEPTF65,LXIU730819RE4,21.16,false
207,207,BNQZ941218MKYCBU73,NLZW850929ZP6,17.34,false
208,208,QRNX911107HHUJAP88,QVJI601119RU2,11.66,false
209,209,MGXP951207HNLKUX93,LTUC951127FG9,21.45,false
210,210,SLGJ960909MQWCTY08,QVFP911029YK8,32.7,false
211,211,IEQD791228MQGTEV14,INRA690919XE1,4.22,false
212,212,JTNQ931107HZWQIF67,MQHS950819FA8,5.63,false
213,213,UDAT671229MZFRQI40,HTCV881227AK6,19.7,false
214,214,LTZS981216HJCSKW53,WSJI901219MC6,4.54,false
215,215,QRWL921119MNXOUP33,IUDH861208AT9,13.15,false
216,216,LZHC970829MKCRLM10,MGDE911119WF5,41.02,false
217,217,CXWF981209MFRLSZ15,KRSW691118MW0,35.47,false
218,218,LFCA961227HMYJCD11,FLER681227CT5,34.87,false
219,219,AOSN691128HPKALM02,IKHU641219JH9,19.09,false
220,220,BSEL831209MLKIJP58,OMXZ801019AB4,4.98,false
221,221,TUNI991219HULZSF36,WPFL891109NX9,44.17,false
222,222,NAHQ891219MCVSMZ43,QFSY751228YJ0,34.92,false
223,223,YBOL651128HYVWZF33,CKVR800719AO5,21.72,false
224,224,JYHA831127HBSPIW41,AWVO851129MC5,14.08,false
225,225,UZRL881109HAYHJI74,HOIA761229WZ9,43.16,false
226,226,VHDK791229HHACJV10,WBTI831229XD6,7.56,false
227,227,BJAF781129MEYGVS54,BETV971228MT9,38.39,false
228,228,IXMR961106MCKNVZ60,MJAQ801225GA6,3.27,false
229,229,GKUH971218HKBSLW86,AKIO651218DI5,5.75,false
230,230,FTLN641229MVBAJX53,CJPR741129CL7,23.63,false
231,231,VOBY730819HCZMRU45,QOAM601209UJ9,27.51,false
232,232,IRBE911209HXLTDJ74,DHXC980929WI5,28.76,false
233,233,DOWH850828HTMQOP39,HQMI621218JU7,21.76,false
234,234,XCDA930817MMYURO98,TYDB961007PW3,34.97,false
235,235,VXTI930909MSHMLP91,KFPU911129XB4,26.17,false
236,236,VMCD931209HNOCDT75,ARQI961229NO6,28.96,false
237,237,KWTQ871226HWMHKX69,XDEI711217VS6,3.69,false
238,238,XHCS851218HZIXCR99,OLUN751207XW3,41.7,false
239,239,ZDWO911126MBYKRI73,HWAK611112TA1,41.03,false
240,240,NYDL811227HOHVDM00,UDRH971219VT3,25.27,false
241,241,PUJL961007MVXOMB84,SVBF961219SD1,22.6,false
242,242,ZGTI981228HKVEWR82,TRZE831019DZ4,4.77,false
243,243,PNBT831129MJRCXL45,DSOY621225ZV3,43.97,false
244,244,WAVB981107HFUJKR10,LFUX991217LH6,26.92,false
245,245,KBFM801219MKJBFC71,XOHK911013YI7,34.36,false
246,246,NAPX991009MBPEKY58,PULH971206UZ3,13.89,false
247,247,QDAV861017HUMIKS38,EQST941029YV8,35.77,false
248,248,KDTB950928MDCKPO22,BWMH910529XD2,34.99,false
249,249,IAUJ861128MTEIFR78,GOSD911119KC3,22.64,false
250,250,XVCK831229MECGTR27,FCPQ951129PD4,43.49,false
251,251,CGOQ901129MKLUEB43,FEUS961228ST4,12.5,false
252,252,XFKS881229MGIXLH16,WOQL671218EP0,37.51,false
253,253,CTXP911129HYJVKX72,ALDX881229GZ3,42.96,false
254,254,VMCX821107HHZAXU08,NQJT741208HT1,5.15,false
255,255,DWRY800828HVDGXQ51,NUDC601217EX5,44.6,false
256,256,YKOQ851029MGTHCN83,SKCB991219XN5,30.3,false
257,257,TNGM951209HVMAFZ45,SCVL801209JG3,31.68,false
258,258,ECKG951208HMKGVC94,OQIV791024UR7,32.13,false
259,259,IDVG721119MOYJSP34,EFZT951116GQ6,11.28,false
260,260,THGF961009HLSIFW46,FAYU991229JT7,27.03,false
261,261,SYUD831119MWAJMI24,RYKL971129HE6,18.5,false
262,262,MLPR951028HHWJYO98,DLCW931219WO2,31.59,false
263,263,RLNJ721219HPQKLT04,LARW931106IU0,44.71,false
264,264,WGOE851225HSPWAN78,MRJZ861118ZX2,31.34,false
265,265,ZSQU991118MHWUBL02,WRKI941229WF9,6.48,false
266,266,WZRH741227HBQDIA96,QCMX961025CH7,22.12,false
267,267,BOSX921029MGEPUK91,HPMX981229PD5,18.86,false
268,268,KTYX991218HQPHLY17,QSMG930808PS5,43.64,false
269,269,LMJY941129MYIJKQ89,RHOQ651019VF3,26.8,false
270,270,WNYQ821229MYKXJD09,NXWG831229CN4,4.18,false
271,271,YKWN631209HXGMKC56,EKBV990608EP8,37.22,false
272,272,KQHD741219HODWGU62,CBSR741207TS8,14.74,false
273,273,UDJC631228HOANXZ03,SRYP961008AK5,39.76,false
274,274,XHRW961206HVTRHB06,WASC980429OE4,10.32,false
275,275,WEOH681001HJZXOP48,GXNP701008JD7,32.25,false
276,276,WQUZ951226MRQWPU54,BJGP761126HW5,8.67,false
277,277,VHCF981228MUXVTS68,KUHY851128JK4,16.12,false
278,278,GFCL731209HEVHTO79,SYPO921209AM5,28.53,false
279,279,ITAB891208MNWXAY69,PDXJ820807BV9,38.79,false
280,280,YDCE631029HGFQCW32,XRGK810918FS5,29.73,false
281,281,UQFB731018HYPAKN69,OYHU901208QH2,8.99,false
282,282,KEPY951129HJIRHG10,WMVK930727WG6,42.24,false
283,283,NMEV921208HAQYNP36,KOXJ671208GW6,26.83,false
284,284,QZPR941218MRQMPA70,QWEV891216YU5,28.88,false
285,285,FXNK641229MUQAZE44,RNDW871207RM3,31.26,false
286,286,TCJI991118MFXHMP09,GNSB891229WG0,34.64,false
287,287,QZXO951018HRTVZX90,CLTA751129CS5,36.45,false
288,288,QBVF921208HXVKTR71,XFMC880929MT5,33.19,false
289,289,OCEV891228HSMXTE52,HCND981207EJ7,43.58,false
290,290,FJNX961217MAJWUS22,KEYP971225YF7,18.39,false
291,291,WIUZ941019HVQJOE94,XIYJ991219RL2,41.23,false
292,292,EWAQ971127HDIBYT25,SURX941102XV7,11.19,false
293,293,NUGD881009HEBUIN30,XDJZ881228SO3,42.72,false
294,294,TIVK991029MXYDUP07,HKJM961208NQ6,18.08,false
295,295,PNYL691109HUFAYC98,JAZN931123JV2,35.29,false
296,296,ZUGN981228HPYBXO82,JHGW841228EH4,14.89,false
297,297,VOKF701009HMKTPA07,PCGN921129LS3,42.47,false
298,298,PIRN861229HGOENV00,CGJQ840719TZ3,10.54,false
299,299,XRJD991208MKVEBL83,QUTR991128QA1,6.69,false
300,300,VTQI701107HUWKSG82,TEUQ961219YP5,20.6,false
301,301,JXON740928MDKOYC32,BXJH901029QU8,15.2,false
302,302,IFYT901218HHTKEJ32,KTVC681119AV7,40.57,false
303,303,FWCA671108MSIYGJ00,OMCP851128RK3,4.05,false
304,304,ZOCH941029HWUEOD86,ZSCR661219OW1,22.35,false
305,305,ZBFV900919HUVLFM93,HZIQ611229CW0,34.2,false
306,306,KHZP741219HNRVUM07,XACB641218DO4,8.45,false
307,307,ZGBF871026HWCKXO42,YBLH941219DG8,20.04,false
308,308,EHIP911128MHNBJC68,ZOXL950708QY1,44.86,false
309,309,ZCWG690729MZWISK53,MNFO891019WU4,42.01,false
310,310,BFLP721229HIFWPM47,OMGT931208QT9,8.59,false
311,311,GMZT901019HNSAZH63,UPRT841229LD3,14.4,false
312,312,YZEL770929MQHDUT07,QHNM941129AF0,38.55,false
313,313,LPSR940909HTUZAD24,FUHO711207HT3,9.86,false
314,314,IFDB811028HDEHRA50,HKDM801128NP5,14.16,false
315,315,DPVW710923MYDEVI91,VDOL881219BM5,4.58,false
316,316,AQBC821127HAYNMX06,LPMW920819WD9,29.43,false
317,317,LRBD871028MRWPLE37,KXRH951227AM0,41.97,false
318,318,SNOW681129MLJBNV87,MWYS901129IV1,37.86,false
319,319,FMUV851218HEPASD72,HSWP941228LA2,34.08,false
320,320,XBGC831008HKNJMT64,VFNH931118FL7,7.42,false
321,321,YPDB991209HWZXSI58,KYZE971229QX2,31.24,false
322,322,CBEK971219MGHCLI03,HXMA811208PB6,37.31,false
323,323,NMZH901229HIOHYN81,FGXD981027SR1,14.4,false
324,324,JSAX801219MVGIUB65,TLDP911228CB7,23.54,false
325,325,PWQF960919MHWXGE90,TQEC681029SQ9,13.87,false
326,326,ZGAE671209MBLKGV24,RQPU971204FY9,15.15,false
327,327,VPQY941027HGXJQV72,QLSF711208UF2,39.88,false
328,328,ICMJ651207HUPDJG49,EHKB961226QI6,26.88,false
329,329,ZHJA931129MSEKVO26,VXZM961209TL2,38.88,false
330,330,JCIO921109HVCIFZ04,CSBZ901127AL0,20.4,false
331,331,TEMS751119HLQCVS31,WEFZ811109SV7,43.63,false
332,332,KWVX691228HEUKQG58,EGMW651228ZC5,39.6,false
333,333,WBCS890728MSHBXF30,LEYW601218HY7,30.18,false
334,334,YFKX981229HTWAFJ22,WZKT990909UQ7,44.41,false
335,335,KABN850919HAJKMX61,JVRA961117PK2,4.18,false
336,336,RZUT881019MNEWPV48,XKUY801228LW7,18.33,false
337,337,XROU961129HBVHQO76,MDSQ990719CR4,38.85,false
338,338,JYXR971127MVKYOW60,KVSE951209BW2,35.69,false
339,339,XIYM821127MMCXQG26,LFHR981127JD5,20.6,false
340,340,JFVT601228MUPGNI72,HFSZ851209KE1,15.42,false
341,341,DCWG981229MSVBIG52,BXLP661218PS0,36.89,false
342,342,GHMZ761107MZDGIY12,XZUH901229GS3,5.77,false
343,343,GVMH961029MEXRGV82,DNJU861208HW6,18.79,false
344,344,TLAI681209HVMEWX00,FUJT741228OA3,24.57,false
345,345,YUWH951117MPJXVQ82,IFBT991008OP0,23.52,false
346,346,QCBU921125MRJCUP59,UDOJ971028JL5,37.33,false
347,347,LSNZ921109MRGBNE87,VYKL921209LU8,19.08,false
348,348,YVNR741229HRWPUZ78,FHTI750929HO6,43.1,false
349,349,QNXU911209MZHXDV16,QPZD861119TV3,41.86,false
350,350,WILC991008HJDOGQ47,YPUW981229MG7,36.34,false
351,351,FAMV980926HTCKHJ47,YWRC841229MJ8,15.02,false
352,352,AYWG801019MRUXVC39,TAOZ951108AQ2,41.14,false
353,353,NKIP901227HTQGKP20,JVBF911118QC1,44.14,false
354,354,NTOU611028HCJXFZ41,VBNI831109HX6,28.82,false
355,355,ZMIR621129MYGLNS10,YKRD871109EU5,29.71,false
356,356,UTER991228HIPRWD15,KVGF690907AC5,39.8,false
357,357,BTZJ621119HKIDTL72,REBO910729UV1,4.12,false
358,358,IJNY871229HHEDTF23,ARWP911209ET2,8.3,false
359,359,MLQW671009MBYQEV14,LCPI980509GD5,37.41,false
360,360,VQXB781128MSNITK26,HRJZ941219ZI7,30.29,false
361,361,FYIG971129MOESJR72,DWKU981027FL3,20.1,false
362,362,RYSA951128MVMKHT72,SUWP801229GF1,38.29,false
363,363,RKWN991218MOLYWX24,SOHQ761219VO0,34.51,false
364,364,KUYP701129MLTDPI28,MEBR791208YU3,11.73,false
365,365,IWPC911218MDSFWA85,WUCG961227MI4,30.63,false
366,366,IYTR941119HOFHGP94,CSGE921228XT3,15.36,false
367,367,XKIV941228MUDOHM72,ORNU711028DT8,36.23,false
368,368,WVPO851229MUXNFZ07,NMOL991118CP6,3.24,false
369,369,HFOR911129MWVMKF91,DMUG651226BY7,41.77,false
370,370,DKCW711117HEZYDC67,RALO821109XC3,29.52,false
371,371,DAOE691229MYJUNX08,XHMD871029JI2,35.29,false
372,372,UHZB941219MMQPUS31,OHCA981219LB4,37.17,false
373,373,VADO641209HHVFTU01,TIBE851117MP3,42.56,false
374,374,YNDP891209MDCRZQ86,HDLE861129UG3,21.37,false
375,375,NAFB941009HDRMWQ24,COBS991028XC9,8.26,false
376,376,SGIZ921219MSTZAH92,RDIG741219BS6,19.6,false
377,377,EOFW991028HTBHNI23,MGAU740807UV7,31.02,false
378,378,PFMR860807HPZQKH43,FHOI810829AN1,4.12,false
379,379,RGJQ861106MLUWDC13,TPLJ821119UL3,4.04,false
380,380,WJFO901217MVCGNI29,FOPG900919VJ2,12.21,false
381,381,FVZU931219HOGJKL82,KLMD941119HK7,35.35,false
382,382,OXPD901117HSTOEP09,MVFR961219LW9,26.45,false
383,383,ZSMJ910528HOVJYB93,ZVYJ961209TG7,14.97,false
384,384,RLYC741129MEDYFO31,MIKG960929KU9,12.24,false
385,385,MJZH951028HTOGUZ16,IGDU941208GJ3,44.55,false
386,386,WLAQ991104HEAMGZ58,STAV811208OB7,23.95,false
387,387,KPBH631119MZVTNK35,XECW651129VR4,23.9,false
388,388,CYVQ641128HOPMIB40,NDYR931229TV3,27.84,false
389,389,HDBO641227MNAULQ86,OCTB761229AI9,41.97,false
390,390,NQKS950906HEVABY30,LUHB691229RP4,12.85,false
391,391,ACJY870702HKJWMY13,EHSI921015XU5,14.28,false
392,392,UHDO941119HKAFDW31,CBLG820829LA6,41.3,false
393,393,THVK961209HDQLAM47,WHPT801109WC5,22.44,false
394,394,CWDN631209MWTUZL59,WDLU961205FH2,26.23,false
395,395,NTWZ881225HZHGAM67,ANIV741129BG3,6.76,false
396,396,HBVT831109MRJOSA14,GLDR921229AM5,40.82,false
397,397,ZTAY941228MLSCFD30,WZUH601104YN9,36.21,false
398,398,WMDI631209MVNYDQ58,ZKUC891219FC4,4.61,false
399,399,FHVM921016HGIBDN99,SUWD661209DF8,24.25,false
400,400,ZHJM771018HLZWXO00,JYFT751108PT9,30.89,false
401,401,OUKL991226MRKCXV55,WXET881229EC8,44.16,false
402,402,GAHP931227HXUZWQ69,VNAC910929XF9,4.27,false
403,403,DSNQ901228MYCXVE00,PZBK871207BY9,6.34,false
404,404,WQVO611209MBHKYM49,QFNK890925ZK8,36.64,false
405,405,WCAF851208HPADKY78,WZPS911219FW7,13.42,false
