num_economico,RFC
5738,KBNE991219ME2
4674,AGYT780919YQ4
8105,QJNV931225HC3
4340,IQHJ750329KP6
7685,SAYM801129VJ0
6102,VQZA731129TQ8
1812,AZCY830826GZ3
8557,PQBO951209RB5
8078,PNKA981019UX9
9709,RDPK981209SZ3
5046,FACJ991119OH1
9312,BMXH911129YR3
4215,UOXV701207WV5
1840,YEAQ921118BK0
6024,QVJM991027LY8
2225,XIQN931228CR7
9627,MFXQ831018AT8
3909,UOIM951007UD3
6924,QBRU871119NX4
3994,YCBW981128UV6
4843,FAQL921229CY9
6177,CPRO901228DM1
9409,KTRF741216DW7
8419,VQZA731129TQ8
6874,VEFQ691228UN5
8780,GBUL921218TD8
8992,UCTO951228GB4
2539,NCUD971105JY5
1055,SWUN881116UB9
1583,TXFY911019HR7
3826,THYX751226CD8
5188,RELK831028KQ6
5396,VQZA731129TQ8
6091,NCUD971105JY5
2340,SWUN881116UB9
1322,IXSG761119SI3
7185,NCUD971105JY5
9937,SWUN881116UB9
6200,IUBM600714PN4
5453,NCUD971105JY5
4819,SWUN881116UB9
3538,KXPG601218DP7
3281,UBCP881208VS1
2491,NCUD971105JY5
6119,SWUN881116UB9
8505,TBIA991106LR1
1543,QVIJ980909HO2
2032,WIKD950929RO6
1043,RGOD821219JN0
6750,RPJZ841219VS7
1951,XAVR691227WJ3
8295,XGFO911129MW6
2975,LMUR851218CU6
4103,LUTP711227KM0
7601,WDRI971018CM8
4176,GYJW991019OD7
2688,MHLI910726AL3
5721,XIHS981217PF0
6452,GLKT860928NV4
2408,SOQA860829OZ0
6477,DHNR951209RF7
6654,YOIP981219ZU8
6334,SVPQ981228CQ2
1866,TIEF921219KQ3
7238,ZBMU991129PJ0
2299,YRTK740709GQ4
2595,YJIE891129UZ5
3272,CGJA921219LT5
3558,WNKR920829TD3
4525,QIDN831229JH1
3868,YOIP981219ZU8
7810,SVPQ981228CQ2
9283,TBJE901218NX5
1712,CILX821219WH6
6489,INOQ821208WH3
5516,HXBO641229ZU3
4485,TWUF631008ED0
6798,SMID691019YD0
6537,DMJY991229IN5
6324,EZXG911229ME2
9632,EDFH821208XG3
1528,MCLV971226VH6
7349,JBTN980927IU8
8919,SMID691019YD0
2596,IFPG951209MS9
1669,ORDS821126PI5
1252,LJYT631029FT6
5526,CKZR891118LU3
3667,BVRJ931114XO9
2090,FBXR741226BZ1
9546,YGNJ971109ZV7
9976,AFDH761217FZ7
5651,SMID691019YD0
1888,RZMG841229QN3
1389,PBLQ911229AN0
8330,WQSY961229YC2
2587,LXIU730819RE4
9574,NLZW850929ZP6
9077,QVJI601119RU2
9099,ORDS821126PI5
1111,LJYT631029FT6
2078,INRA690919XE1
2046,MQHS950819FA8
1860,HTCV881227AK6
7439,WSJI901219MC6
4140,IUDH861208AT9
8128,MGDE911119WF5
3132,KRSW691118MW0
8067,FLER681227CT5
6783,IKHU641219JH9
6722,OMXZ801019AB4
7161,WPFL891109NX9
3365,QFSY751228YJ0
3839,CKVR800719AO5
1594,MQHS950819FA8
3600,HOIA761229WZ9
8421,WBTI831229XD6
9385,ORDS821126PI5
9466,LJYT631029FT6
4407,AKIO651218DI5
5199,CJPR741129CL7
7213,QOAM601209UJ9
4956,DHXC980929WI5
8008,HQMI621218JU7
3297,TYDB961007PW3
6141,KFPU911129XB4
4582,ARQI961229NO6
3001,XDEI711217VS6
7476,OLUN751207XW3
4206,HWAK611112TA1
9308,UDRH971219VT3
5881,SVBF961219SD1
2241,TRZE831019DZ4
1846,DSOY621225ZV3
7630,LFUX991217LH6
3911,NEGI951229IG4
6465,XHBO641206AB2
2345,EQST941029YV8
7974,BWMH910529XD2
2119,GOSD911119KC3
3049,FCPQ951129PD4
3363,NEGI951229IG4
5615,XHBO641206AB2
3498,ALDX881229GZ3
6898,NQJT741208HT1
4562,NUDC601217EX5
2802,SKCB991219XN5
9454,SCVL801209JG3
2066,OQIV791024UR7
2566,AKIO651218DI5
3581,FAYU991229JT7
3592,RYKL971129HE6
5061,DLCW931219WO2
4275,LARW931106IU0
4989,MRJZ861118ZX2
4189,WRKI941229WF9
9029,QCMX961025CH7
5971,HPMX981229PD5
2159,QSMG930808PS5
2120,RHOQ651019VF3
6198,NXWG831229CN4
5740,EKBV990608EP8
2892,CBSR741207TS8
2178,SRYP961008AK5
5634,WASC980429OE4
8949,GXNP701008JD7
5993,BJGP761126HW5
8153,KUHY851128JK4
1738,SYPO921209AM5
3598,PDXJ820807BV9
8139,XRGK810918FS5
3980,OYHU901208QH2
3673,WMVK930727WG6
8106,EKBV990608EP8
6142,QWEV891216YU5
6476,RNDW871207RM3
8573,GNSB891229WG0
6156,CLTA751129CS5
2162,XFMC880929MT5
9033,HCND981207EJ7
9668,KEYP971225YF7
8591,XIYJ991219RL2
5458,SURX941102XV7
8977,XDJZ881228SO3
1275,HKJM961208NQ6
4463,EKBV990608EP8
3043,JHGW841228EH4
8162,PCGN921129LS3
8848,CGJQ840719TZ3
4730,EKBV990608EP8
7192,TEUQ961219YP5
8781,BXJH901029QU8
2142,KTVC681119AV7
4895,OMCP851128RK3
2222,ZSCR661219OW1
8292,HZIQ611229CW0
2295,XACB641218DO4
5175,YBLH941219DG8
2900,ZOXL950708QY1
3607,EKBV990608EP8
1714,OMGT931208QT9
4838,UPRT841229LD3
6929,QHNM941129AF0
5089,FUHO711207HT3
7527,HKDM801128NP5
3031,VDOL881219BM5
3620,LPMW920819WD9
7773,KXRH951227AM0
5466,MWYS901129IV1
6801,HSWP941228LA2
1678,VFNH931118FL7
6472,KYZE971229QX2
3110,HXMA811208PB6
5825,FGXD981027SR1
4791,TLDP911228CB7
6716,TQEC681029SQ9
2455,RQPU971204FY9
1775,QLSF711208UF2
1934,EHKB961226QI6
6704,VFNH931118FL7
8750,CSBZ901127AL0
6114,WEFZ811109SV7
7137,EGMW651228ZC5
9313,LEYW601218HY7
6962,WZKT990909UQ7
1930,JVRA961117PK2
8764,XKUY801228LW7
3034,MDSQ990719CR4
4598,VFNH931118FL7
1827,LFHR981127JD5
6976,HFSZ851209KE1
3703,BXLP661218PS0
6014,XZUH901229GS3
5007,DNJU861208HW6
8185,FUJT741228OA3
5663,IFBT991008OP0
9326,UDOJ971028JL5
6807,VFNH931118FL7
3133,FHTI750929HO6
6430,QPZD861119TV3
1724,YPUW981229MG7
7355,YWRC841229MJ8
4151,TAOZ951108AQ2
3471,JVBF911118QC1
3833,VBNI831109HX6
3314,YKRD871109EU5
7980,KVGF690907AC5
3697,REBO910729UV1
3333,ARWP911209ET2
5258,LCPI980509GD5
2101,HRJZ941219ZI7
4522,DWKU981027FL3
5990,SUWP801229GF1
4491,SOHQ761219VO0
3495,MEBR791208YU3
9961,JVBF911118QC1
4197,JVBF911118QC1
1975,ORNU711028DT8
7803,NMOL991118CP6
4431,DMUG651226BY7
9193,RALO821109XC3
1282,XHMD871029JI2
7365,OHCA981219LB4
3948,TIBE851117MP3
4444,HDLE861129UG3
5302,COBS991028XC9
2878,RDIG741219BS6
9063,MGAU740807UV7
2651,FHOI810829AN1
3865,TPLJ821119UL3
3225,FOPG900919VJ2
3780,KLMD941119HK7
5555,MVFR961219LW9
6666,ZVYJ961209TG7
9535,MIKG960929KU9
2609,OHCA981219LB4
6038,STAV811208OB7
8916,XECW651129VR4
6827,NDYR931229TV3
3255,OCTB761229AI9
7647,LUHB691229RP4
3301,EHSI921015XU5
2525,CBLG820829LA6
1296,WHPT801109WC5
9767,WDLU961205FH2
7271,ANIV741129BG3
1980,GLDR921229AM5
9455,WZUH601104YN9
6650,ZKUC891219FC4
5500,SUWD661209DF8
4526,JYFT751108PT9
2432,WXET881229EC8
9222,VNAC910929XF9
4651,PZBK871207BY9
7622,QFNK890925ZK8
9458,WDLU961205FH2
5667,LIKS691128ST8
4967,MLYG891228TY6
5158,TFLW801119RS4
4417,MBTO881018KI8
4960,QCZH910829MX7
7777,HALF921229LJ2
8888,WAUO961228FO8
4571,GJQI881223BG7
5346,SDUJ941209ME0
9999,WLYU971019EK0
1871,QPDJ981107PD3
3201,LMKS951227VL4
8530,IKJE951218ZY7
5800,ULOZ661016ZB0
5531,LOCE901228GI1
4752,EFBM901226JP9
4567,LCIX900809BL6
3038,GPFJ831229FC2
1785,JXCA821119RA3
1019,SWTD920806DX9
2034,ENZF871109XK9
9408,AEPL771226YR3
4739,PWLZ610808LQ3
2158,LMKS951227VL4
9441,PHCW951208TF3
4594,NGLP731208QU7
1564,DGXM871009EZ5
3322,GKRT811227SJ0
1986,FDUZ600629JC6
8867,ILFC871126TN9
9639,WNEB961118FU1
2964,JNHL781126KB3
5997,UHPI921126QZ0
1527,RAJI871008VH7
3167,OKJS841219US6
9365,RVIY841215TD5
2924,EQVR881106FV7
4099,CLKU901108OI3
3254,MTLD881209RZ6
7178,EBYR950608YE6
1197,NJPQ880417HI2
9879,SVHI921227EB4
3859,QECZ921209TA3
3665,BGNZ821226NM0
3052,IVRW961126JF9
1234,JNLX931119ZL0
4920,JLWP701228XN1
2635,RFPA971217ZE5
6243,KRWE991227ZJ5
8016,EWVB831128PN9
7922,CKBX851119UZ7
1600,OAKJ861119JE7
5592,IVRW961126JF9
1683,QVWN981129CW6
3475,RUOJ930928WK1
4040,XOHU951217CA2
1115,VRKW991129QJ0
2948,OIQN911008OW7
8801,WTAG941229NC4
7446,QYVG981119VR1
1236,UZGJ791207AQ2
6396,IVRW961126JF9
9202,QLRX901127JA4
2936,KBDC981226JN2
4866,XGSE731129DZ9
8515,IYUR820906SD4
4840,DKCL901218DN9
4105,NFKE711129JZ6
9285,BRAE971209VT2
9571,AIQH911229ZV6
8265,DFQV660709JB2
2573,DETN911229DZ2
9610,GDSR681209CS0
3958,LUMB780929VZ8
3063,FZDG971228AU7
5701,EQAV751013YJ6
8058,ZMDK681029DQ4
6959,LYFA931128PJ4
5248,TOXL980627ED5
2206,TNVG971207SW8
7537,OXVK931129XS0
7591,DQPM971029GV9
6560,ICWS981129UW5
2082,XOUH991128KS0
9576,TYLE781029DJ7
8489,OCJQ891229WD9
5732,DQPM971029GV9
8414,INMD751228DL4
4502,IXAJ661208DV3
2183,ITYF671027BM5
4285,BHTR951029IJ1
6766,GLAE891209PS1
6971,LEOX911217ZL4
7452,DQPM971029GV9
8858,PHXW941129ET3
