nombre,materno,paterno,f_nac,CURP,num,calle,ciudad,CP
Linda,Tromans,Danser,1998-07-06,aids154915midway02,35,Straubel,Batelov,40115
Philly,Sisnett,Dilger,1985-12-06,lots989067cancel20,42,Pierstorff,Keluke,56699
Christye,Pattie,Synke,1995-01-06,drab683354sway's16,787,Anniversary,Zhoutou,39759
Kerry,Middell,Fowley,1985-06-17,clad813522eave's61,600,Eliot,Kiełczów,97483
Henrie,Wickham,Crowdace,1999-08-05,skit049046toiled22,689,Namekagon,Umanggudang,97060
Merna,Pietruszka,Antonomolii,1995-03-09,Mr's246565prudes50,437,Dottie,Jucás,99504
Granthem,Circuitt,Barlie,1998-02-24,gift233472prayed24,867,Hazelcrest,Grimstad,87350
Julian,Turle,Stoffel,1987-11-04,vans088992hire's98,598,Vernon,Неготино,54376
Rosetta,Boulder,Stolberg,1999-09-14,trip086311budges69,465,Schiller,Kapenguria,28095
Aldo,Quarless,Wareham,1987-03-07,gong056835stakes47,775,Rieder,Orleans,58424
Darn,Innwood,Volker,1997-03-10,ream606832triter16,29,Crowley,Berëzovskiy,17795
Carroll,McCrory,Corringham,1986-04-26,lazy367350hurray99,667,Grover,Coronel Suárez,25321
Gerick,Youngs,Elvidge,1988-06-07,maul518347tackle35,529,Di Loreto,El Tablón,61703
Vincenz,Storrie,Bettington,1998-03-23,pats659606unpaid26,867,Golf Course,Chiantla,53015
Kaitlyn,Dessant,Siccombe,1990-03-03,rips617058phlegm32,126,Monica,Liverpool,48427
Evangelia,Guidoni,Kiddie,1982-06-23,thee894468fronts49,503,Dahle,Afanas’yeva,20320
Zebulen,Housbie,Sowman,1997-10-12,gyms621162juggle14,367,Badeau,Seremban,33490
Gabriel,Ropkes,Stockford,2000-01-22,glee826233bunked08,758,Springview,Vũng Tàu,92047
Pinchas,Read,Zanassi,1993-04-01,hone036963learns31,530,Wayridge,Wuma,45513
Dmitri,Bugby,Glanville,1989-12-23,eels031797sautés65,85,Crownhardt,Colima,54919
Kiri,Passingham,Steanson,1995-10-01,nosy744643dearer71,596,Pankratz,Gaoqiao,86995
Gilly,Baume,Tomala,2000-02-16,rugs586309bureau54,802,Bartelt,Shiren,35634
Harold,Doone,Antic,1986-10-04,taut042791pander64,525,Raven,Trzebinia,72168
Brodie,Gaymer,Eouzan,1998-09-02,apex015589jade's99,452,Prentice,Tegalgede,35910
Vinny,Trusse,Valentelli,1999-06-09,spun388831amulet40,141,Bayside,Takaka,61414
Herrick,Bastin,Satyford,1988-08-11,fish218265status91,736,Westridge,Kadubincarung,81059
Noland,Ambrosio,Aim,1985-03-07,keel654630cordon19,933,8th,Norsborg,91503
Mano,Sackett,Skey,1992-06-01,twin114484deli's50,243,Gateway,Surkhakhi,10490
Dudley,Matantsev,Ordish,1984-11-30,prim729963marine16,341,Cottonwood,Sergach,59071
Ailey,Hurkett,Fullwood,1989-01-12,line456019canned14,918,Becker,Godong,48960
Laughton,Latliff,Domniney,1992-06-12,okra353855stoles74,786,Sunbrook,Kandangan,66116
Holly,Pole,Krauze,1993-07-18,glib448652bursts72,486,Green Ridge,Morón,86738
Leanor,Cavolini,Colbran,1981-05-09,reef472250wart's51,644,Eliot,Singaparna,88020
Ceil,Gaunson,Sidwick,1985-10-29,gums966176picnic04,600,Loftsgordon,Shuangpengxi,53351
Lou,Archard,Clancy,1982-04-21,mama540192boat's13,596,Northview,Masty,47319
Andromache,Vyse,Heeron,1996-05-05,feds567934phoney21,161,High Crossing,Baohe,15124
Charyl,Prior,Deary,1986-09-16,glut718753what's53,958,Ilene,Mondokan,89551
Isidoro,Pickburn,Moncreiff,1996-10-27,mall002019mammas24,932,Elgar,Yiwa,53885
Cherry,Philips,Hirthe,1987-11-07,aide933623kink's20,482,Fuller,Guintubhan,74029
Mollie,Hiddy,Benoit,1983-09-13,gals570810poking94,515,Pennsylvania,Japerejo,43068
Junina,Showalter,Linacre,1992-05-20,cork140541rounds84,917,Hooker,Rasskazovo,83514
Merell,Davidescu,Benjamin,1982-10-08,drys632117mapper58,514,Esker,Jinping,37097
Karina,MacNulty,Wetherburn,1988-07-20,spit438677mashes70,827,Express,Pengilon,33903
Katha,Garnul,Sivier,2000-08-11,oaks756172tilted85,446,Merchant,Comilla,19918
Meris,Dalbey,Hamly,1990-03-05,keel169469wilier36,425,Raven,Gros Morne,13432
Kenn,Odam,Nethercott,1987-04-19,hide797066clouts31,609,Anhalt,Yoichi,90115
Candy,Slowley,Crocombe,1985-01-20,gene946952homage63,610,Thackeray,Sungaigerong,84885
Sid,Ronca,Grigoriev,1987-03-03,muff244046dude's54,494,Ronald Regan,Balahovit,71700
Cherise,Coupman,Hattiff,1991-11-30,pads843449bustle35,800,Forest,Karakabak,49660
Jaime,Gowers,Cescon,1995-11-16,rigs785287pink's23,798,Delaware,Staroutkinsk,69722
Yuma,Biaggelli,Burdytt,1980-12-14,salt771341drafty25,202,Manufacturers,Naka,72643
Tabatha,Maric,Khrishtafovich,1989-08-12,rash039043motels66,166,Straubel,Rislane,68248
Lek,Lawtie,Armall,1994-02-09,poem688027ameers28,707,Buell,Qozonketkan,61827
Oliviero,Twoohy,Haggis,1994-08-16,FM's386187hiring04,72,Hoepker,Dicamay,74109
Dolley,Sparrow,Shelsher,1986-11-24,bugs477256ballet62,412,Everett,Hamburg,98594
Vinson,Aldwich,Pimblott,1997-01-06,flea762539soared25,365,Swallow,Radomin,69077
Rolph,Stabler,Deekes,1991-12-13,head135553treaty93,150,Grim,Kedungsinggil,19462
Charleen,Brugden,Ales,1990-11-22,span648862harm's38,461,Charing Cross,El Bauga,47513
Diahann,Duckitt,Clifford,1984-02-19,mash560567bovine87,147,Namekagon,Bureya,29425
Riley,Rutledge,Chesley,2000-03-03,suck599705nodded49,974,Division,Dýšina,47911
Ailina,Imm,Tredger,1984-01-24,smut612575rebels07,546,Longview,Býšť,31044
Dedie,Townsley,Gowrie,1993-12-05,glum915576drunks53,263,Eastwood,Kikinda,21363
Ellen,Harbinson,Le Grove,1993-09-05,vast220973insane65,8,Bunker Hill,Saint Joseph,25478
Jo-ann,Bedder,Knobell,1983-05-01,prod189070mended68,384,Surrey,P’yŏngsŏng,53410
Gerti,Parlot,McQuillan,1985-10-23,byte137303lobbed29,655,Kingsford,Mbalmayo,79314
Chaunce,Bidgod,Flacknoe,1995-07-15,arks297297siesta60,158,Hermina,Nové Sedlo,91760
Goldia,Stibbs,Boyda,1987-04-17,buzz549512gooses04,653,Namekagon,Itararé,40611
Malchy,Yurlov,Cockarill,1992-02-02,lure509552advert32,534,Westend,Amfíkleia,37501
Amelita,Cowlishaw,Pate,1986-02-09,maze312820tosses93,78,Briar Crest,Khomutovo,20181
Banky,Friend,Prisk,1986-11-17,song441523craves05,985,Banding,Huangbei,15180
Arlana,Pryell,Tessington,1995-03-21,skis925410room's11,785,Oak,Raffingora,76710
Terrijo,Kunneke,Briscoe,1980-11-24,cure720723lumber91,918,Kipling,Novyye Gorki,86095
Sandy,Caughtry,Firby,1986-05-12,rape059422snider96,329,Mcbride,Shangzhuang,11645
Wang,Fransewich,Grogor,1982-09-25,nips324033parrot03,207,Marcy,Budva,15312
Demetrius,Commings,Eagleton,1985-12-14,mans478433many's12,274,Browning,Chelbasskaya,48613
Fulton,Melendez,Galego,1994-07-29,yeti410395sticky60,939,Dryden,Mirosławiec,44170
Annalee,Sweating,Chater,1990-11-11,nits721890broths95,990,Mosinee,Suruhwadang,87093
Cobby,Braunfeld,Axup,1992-09-26,errs496734year's40,655,Luster,Boucherville,60172
Franklin,Mephan,Hannum,1998-02-17,dusk487739evener63,405,Kipling,Pilpichaca,91065
Jennifer,Probet,Dover,1991-07-29,pump266771jack's57,671,Farwell,Olival,50054
Donna,Puig,Knowles,1999-07-02,muse415350anorak40,227,Crownhardt,Mont-Saint-Hilaire,92941
Lammond,Epgrave,Lenormand,1987-05-11,thus989547staged08,71,Summer Ridge,Butuan,42754
Kimble,Hindshaw,Acheson,1980-11-07,spur341740museum78,278,Brown,Terjan,75206
Ruperta,Hannan,Bathow,1987-09-22,ball110368glided03,149,Warner,Nihaona,53708
Aimee,Bearfoot,Sutty,1986-04-21,hewn370636hiss's57,706,Chive,Guanchi,33552
Arnaldo,Peacock,Spellar,1993-02-08,fate259446lathes95,619,Florence,Sonzacate,34513
Evaleen,Philpot,ffrench Beytagh,1989-05-17,swum614066douses38,159,Waywood,Limoeiro do Ajuru,95742
Zebadiah,Zielinski,Siemandl,1987-05-03,hags031953physic04,596,Cody,Kwidzyn,19424
Kassie,Shawyers,Tschiersch,1995-09-26,shed520636choosy02,364,5th,Albuera,71825
Sabina,Hubatsch,Othick,1994-04-18,wind301196eyelid10,980,Green,Shangping,66747
Pattin,Chadbourne,O'Cannovane,1993-07-07,hire543542faiths39,749,Carpenter,Matam,43969
Delmore,Courtliff,Scemp,1994-01-21,obey312901bake's06,134,Transport,Banjar Laing,67973
Darin,Tedorenko,Dolley,1994-10-03,cued283918cursor93,798,Spaight,Waiholo,33637
Florry,Van den Bosch,Dingley,1994-10-12,rape912874wood's81,494,Veith,Gading,22622
Jaquenetta,MacAllan,Felmingham,2000-04-21,hoot720441rasher21,430,Pearson,Darłowo,69165
Evonne,Pittem,Phillipps,1992-09-28,nest634478fronts30,46,Northfield,Allentown,57768
Janis,Lukianov,Lindeboom,1994-05-13,diet282728random28,18,Brentwood,Oslo,69316
Catherin,Ashborn,Canfield,1981-07-10,idol434985coupon33,489,Delladonna,Shāzand,16808
Tonye,Bodker,Astman,1996-07-28,veil422865sexing71,699,Troy,Strasbourg,47086
Ranna,Eam,Greenroa,2000-09-13,tick777193shunts31,416,Reindahl,Lolayan,66050
Oralle,Rosetti,Chaffen,1985-03-25,tugs689752self's75,955,Grim,Hostomice,11468
Lynda,Chiddy,Yarnold,1996-08-13,mood204217pepper47,462,Burning Wood,Vila Franca,29066
Kristien,Trevarthen,Courtonne,1998-08-29,vats415682proven53,617,Sycamore,Xinqiao,56486
Rickard,Tantrum,Beagles,1982-05-01,firm650824leeway75,794,Bellgrove,Majāz al Bāb,52485
Tab,Kerfut,Billiard,1987-07-06,lute495979errors40,904,Logan,Mora,11726
Denys,Soall,Gethins,1981-06-22,gays297515myriad65,377,Doe Crossing,Lamalewar,28306
Bettye,Starkings,Peffer,1987-10-14,deli112471comedy05,186,Judy,Caibiran,56485
Brandise,Laffling,Eayres,1994-02-27,spit093511canary15,483,Muir,Saumur,30946
Baxie,Varndall,Skully,1993-06-08,plum901183rummer05,836,Buena Vista,Montgomery,76129
Artemus,Alejandre,Coney,1991-05-09,woof999017genius28,153,Roxbury,Loimaan Kunta,32965
Franciskus,Manby,Grombridge,1993-10-24,cane921996rumors61,403,Scott,Chilliwack,45845
Frederich,Firminger,Gladhill,1990-05-09,bake224671necked45,323,Marcy,Jilin,84822
Ogdan,Tallman,Fawdrie,1985-07-22,lord259050jute's85,105,Pawling,Pulau Pinang,18214
Beau,Alcoran,Manvell,1987-03-16,made181686eddied90,902,Coolidge,Thomazeau,39782
Viviyan,Burgyn,Tripney,1983-08-13,yens732027expels70,937,Mccormick,Yancheng,37882
Trescha,Spurdens,Ludlam,1981-06-01,sewn895805unrest50,371,Thierer,Ribeira Seca,90047
Dorothea,Burrass,Durrand,1997-01-09,zeal403052gadget91,274,Veith,Sawoi,25754
Fawnia,Pyburn,Dacks,1998-01-18,ID's247977nudged37,304,Upham,Prochowice,45755
Joyan,Koeppe,Weiser,1985-12-14,skid599497zebras96,216,Leroy,Maanĭt,42533
Eduardo,Bachura,Blonfield,1986-07-26,whew996633tattoo92,231,Marquette,Balzan,48789
Donalt,Keay,Spinetti,1984-01-06,grin797884lather22,893,Kingsford,Beizhang,84286
Letta,Rawles,Cornhill,1981-04-09,reek192681feeble34,325,Jay,Ymittos,71053
Effie,Nussen,Klamp,1998-07-26,colt818062posy's43,726,Sunnyside,Chacarita,93484
Emlynn,Van Dijk,Leggis,1988-03-25,helm950108fume's87,580,Delaware,Niort,98109
Ron,Yoskowitz,Okker,1985-02-05,nape061578civics47,696,Carpenter,Krivyanskaya,98179
Karrah,Halworth,Eam,1991-04-09,rues826442widens40,236,Alpine,Regente Feijó,61932
Kamillah,McIlhagga,Walkowski,1990-03-16,pate875828ameers09,146,Northwestern,Lewoluo,37999
Elane,Luter,Brewood,1995-02-26,keel982827orient26,93,Eggendart,Zaoxi,79535
Britta,Glover,Thal,1982-11-23,tube225463goatee47,237,Oakridge,Zhangdiyingzi,80683
Roana,McAllester,Sherington,1996-08-07,cubs106848pocket59,146,Fuller,Rîşcani,46441
Dixie,Braban,Sloper,1989-01-01,tuft776686gamest87,681,Daystar,Namayingo,95780
Austin,Scrinage,Spon,1983-09-24,vied818082spites43,989,Amoth,Caitang,71219
Myrtia,Cammiemile,Legges,1982-07-06,less173080jumper49,316,Muir,Cibunut,94890
Alastair,Seakings,Slorach,2000-01-19,kelp689882ball's19,183,Twin Pines,Yangiyŭl,93222
Garwin,Dottrell,Grierson,2000-10-08,hint529035refuel18,951,Gale,Dębno,74719
Reginald,Tsar,Abbey,1994-08-06,news696918life's32,931,Esker,Zuya,62682
Scotty,Keattch,Siggers,1990-01-20,awry191550sweats07,391,Hansons,Humble,90501
Ashby,Tantrum,Hallowes,1995-12-05,teak548414sheave05,424,Stuart,Boluo,19212
Jesse,Lyes,Cristofol,1999-07-20,idle904003spoken51,530,Lillian,Ekibastuz,74221
Brooke,Hancorn,Hardingham,1985-01-08,rows009576staved18,131,Sycamore,Pedreira,27936
Serena,Vayro,Ketch,1999-01-07,fall974688pining73,41,Hollow Ridge,Karangbadar Kidul,73781
Andrus,Balding,MacAlpyne,1992-03-21,tubs545576grub's87,145,Oxford,Višňové,86961
Roscoe,Balazs,Challener,1998-01-02,reis014850smooth38,669,Green Ridge,Jingmen,70678
Errick,Thomsen,Roose,1983-03-19,darn499820sketch18,438,Dwight,Dongshangguan,14382
Loria,Stubbington,Paniman,1981-07-18,duel184666pout's65,276,Corry,Hushi,28561
Reynolds,O'Hingerty,Cottesford,1985-04-23,saki029924cleats31,854,Kennedy,Thị Trấn Bắc Hà,66787
Jack,Muccino,Bazley,1999-12-09,plow980277huddle42,810,Comanche,Taibai,72062
Juliana,Kleinschmidt,Strange,1991-01-21,ease835765maxima40,338,Annamark,Ankola,41144
Noni,Bullivent,Packe,1985-11-01,math756419stated97,497,Heath,Sorokino,77407
Harwilll,Coronado,Davenhill,1995-03-20,else063229pauses90,579,Maple,Sendung,98338
Jessalin,Linfitt,Tubbles,1993-11-23,drug712715loiter67,133,Spohn,Đạ Tẻh,55468
Christye,Merritt,Pearcey,1985-01-08,redo787248snouts16,280,Kennedy,La Rioja,99939
Colly,Davidde,Bolam,1987-06-12,dash131753replay29,363,Havey,Cirompang,55141
Cosette,Tallman,Broadbere,2000-05-18,bell466328frills93,572,Crest Line,Chatan,41097
Sandye,Gocke,Leftwich,1999-10-21,zeal764841inject20,726,Fuller,Whakatane,16554
Piggy,Biasioli,Hardiker,1992-11-22,rope071262ceding62,61,Sycamore,Dalu,99928
Myranda,Stansbie,Grinyer,1996-05-02,lean247466gloved95,998,Morningstar,Nantes,55767
Corby,Brazel,Spincke,1981-01-15,east180108tang's57,988,New Castle,Shumikha,69593
Benita,Joannidi,Atwill,1997-05-26,ties236847copy's50,707,Vera,Eci,94237
Tristam,Chess,Borrel,1996-05-30,bold978337blamed20,88,Arkansas,Orangeville,10233
Andrey,Froud,Blei,1994-10-17,deep146708foetal59,972,Sunbrook,Liangshan,64209
Victoir,Carragher,Ferreira,1985-03-01,used619800mutate95,984,Oxford,Saint-Maixent-l'École,57727
Laughton,Pottell,Mc-Kerley,1983-11-01,hags875425nought35,613,American,Hekou,98346
Rhianna,Pietzke,Iacobo,1990-01-26,laid265856midway16,808,Dunning,Hugang,40261
Araldo,Andrassy,MacCall,1982-07-09,whet071631attend71,57,Redwing,Jintan,99900
Philippine,Ros,Schulze,1992-11-16,tipi922146defame56,220,Armistice,Dū Qal‘ah,40360
Anthiathia,Pellett,Redolfi,1997-12-21,alto378913import84,686,Dawn,Xiangfeng,93252
Willie,Aronstein,Dumbarton,1982-02-16,rats617893stinks07,24,Crownhardt,Gasri,30516
Harlin,Goering,Pentercost,1987-07-23,knit843403edicts06,231,Jenifer,Kurye,56504
Levon,Moggle,Bedward,1993-01-02,late489145dancer42,347,Dahle,Santa Cruz,59852
Gregorio,Kloser,Blandamere,1993-12-28,four488772pended35,844,Everett,Pasirlimus,62549
Ranice,Handforth,Cottesford,1996-08-19,mutt764123gunman82,934,Lerdahl,Tanggeung Kolot,31707
Hildegaard,Sheehan,Bramwell,1997-06-10,poet323093atones86,140,Lyons,Yên Bái,57862
Lexie,Lowson,Mault,1991-05-13,swat460223star's45,206,Muir,Farap,65855
Ave,MacKissack,Rosenauer,1991-08-07,kiwi951873umpire72,69,Shelley,Lipno,23589
Bartie,Rodmell,Yerson,1992-07-13,slow097486laud's19,694,Bartelt,Jelsa,14191
Ab,Atherton,Millichip,1983-01-27,bray730758bowler03,570,Towne,Jastrzębia Góra,88446
Leonelle,Gettings,Saint,1981-05-07,deaf773629rift's09,17,Summer Ridge,Saint Croix,97176
Robinet,Duffy,Ibanez,1990-05-07,hewn278596thaw's64,406,Kropf,Villa Francisca,70274
Jodie,Kovelmann,Yvens,1986-12-08,belt426893poorly92,755,Dakota,Palmares,79494
Aveline,Bathow,Maciunas,1989-11-24,prim857119repair37,8,Clove,Algés,17020
Dita,Alessandrini,Harman,1997-09-01,vine118150punk's23,565,La Follette,Conception Bay South,22462
Cinnamon,Leetham,Merrgen,1982-04-16,polo546437stuffy94,563,Reinke,Boncis,11012
Pepillo,Eshelby,McDavitt,1995-07-29,lips798825karats51,535,Cherokee,Anyar,11701
Jeniffer,Piddick,Farbrace,1999-07-12,nude202003rhinos72,212,Moulton,Miaoqian,62015
Rubi,Soigoux,Ashford,1999-07-07,balm299994croaks09,543,Carioca,Nova Odessa,47719
Georg,Mynott,Darke,1990-07-20,nick991159pecked85,919,North,Banī Ḩassān,39521
Cecil,Puncher,Diggin,1991-01-10,rule099337barter02,154,Sommers,Sapareva Banya,15153
Davida,Stote,Pitway,1998-08-26,prim671856exceed38,763,Superior,Xagqu,52777
Cathryn,Clemence,Millard,1992-11-20,gust581195nation25,684,Starling,Núi Sập,31268
Thorstein,Gyurkovics,Bunker,1989-05-22,cots748252celery80,690,Sullivan,Bolobo,71784
Burg,Mooring,Talton,1986-10-31,glen737885goners63,641,Bluejay,Hezuoqiao,35670
Eugen,Kaplin,Garmston,1994-07-25,writ874884lapped39,383,Chive,Cambebba,89454
Baillie,Jilkes,McLevie,1994-11-07,barn781363tartan39,637,Nelson,Koski Tl,59186
Lothaire,Franciskiewicz,Marthen,1990-08-25,sale329197gamble89,404,Lake View,Magugu,35778
Mack,Beckwith,Brunroth,1991-01-20,SW's661835raider36,166,Tomscot,Mossel Bay,61229
Charlotte,Lorriman,Pawlata,1985-08-22,gigs472332haggle32,789,Maywood,Shuicha,46181
Rutherford,Rawlins,Dilnot,1991-01-15,punt998997slogan00,278,Muir,Maddarulug Norte,70872
Wes,Sibbet,Dries,1994-06-10,bill653889intend64,815,Eagle Crest,Västerås,20224
Clemente,Cuchey,Van Hove,1983-06-25,coke962610shyest89,36,Mendota,Guanabacoa,81892
Simeon,Kanter,Muller,1987-09-27,lobe006400lapels94,471,Mosinee,Giemdiem,98730
Kelci,Klimushev,Birtley,1984-08-05,go's917472wake's87,477,Fordem,Wichita,10658
Alysa,Warnes,Kittel,1990-09-15,gets535937impale03,65,Wayridge,Los Angeles,78430
Paige,Dalby,Burgis,1998-12-23,tint447723loom's52,22,Amoth,Huangshapu,33255
Gerry,Lyness,Pheby,1991-07-12,sofa734152fading84,605,Forster,Itatuba,57477
Kennan,Yea,Ipwell,2000-10-15,seer187003rein's38,898,Farmco,Loures,13809
Janos,Kyrkeman,Ambroix,1996-03-20,bide343008grands09,943,Autumn Leaf,Nashville,75236
Gloria,Gittose,Ventham,1994-06-27,that597875come's97,771,Esch,Napoli,28142
Amitie,Stodart,Doidge,1986-01-15,seek120260many's61,910,Redwing,Poniatowa,92193
Roma,Dincke,McConnachie,1992-04-19,woes112990muffle06,770,Carey,Hanfeng,52241
Pippo,Clampton,Faircliffe,1998-06-06,jury727003tombed57,445,Kim,Åkersberga,29785
Kellsie,Rimes,Sanger,1996-10-27,roam753039source82,199,Roth,Paty do Alferes,94585
