Salario,fecha_ingreso,RFC,CURP
8688,2003-06-01,ohs668293017,byte499544utters62
14661,2009-11-24,jug628923522,buzz549512gooses04
37074,2016-10-05,par819406503,jabs187400morbid16
91406,2010-11-30,wed415341578,nips324033parrot03
30824,2004-01-06,jaw672883597,fogs200781debugs46
39439,2006-03-27,cue657815623,walk844242pealed54
62006,2002-05-27,err165355144,hair336069left's42
34445,2000-06-09,rye728434365,oaks756172tilted85
9114,2014-09-04,shy372172456,mall002019mammas24
15748,2011-07-14,elk798439354,fire126919ghouls99
48606,2013-11-27,vow926426930,puck746341golfer45
56349,2002-08-22,fog545600324,punt998997slogan00
18852,2001-11-23,nun502440448,pelt612256judges19
48280,2013-08-07,hit987658600,chug284656meting75
53031,2018-07-28,aim882563674,that597875come's97
56168,2012-07-17,sub735538680,dads116722yoga's92
32639,2017-06-13,PTI151101TE5,dope816409mosque66
97274,2005-05-19,fit663014020,drop757731fussed81
43963,2000-06-12,fog545600324,tick777193shunts31
95012,2015-05-15,kin146948926,beer552992dime's16
82678,2018-03-19,see215467835,lute495979errors40
25293,2012-12-01,pep751121971,cock813188reefed81
83769,2014-05-01,dip385674889,shed520636choosy02
17305,2002-05-19,sup907632398,rape059422snider96
44936,2011-08-22,hew849204847,cork140541rounds84
11682,2013-01-23,fee303199886,hove678791frosts82
99866,2008-10-30,ton289854435,glib448652bursts72
47518,2016-08-06,N's135717258,skis925410room's11
77745,2008-11-15,fly823647922,sobs978645rivals17
97013,2014-08-24,wed415341578,poet323093atones86
51221,2011-04-17,jaw672883597,sees033519dashes23
14046,2009-04-16,rev863643545,jets991326attend51
7300,2011-05-14,gut572718597,moms111108redder18
75182,2011-03-05,fox592398182,lick730157potted09
89628,2017-03-21,cue657815623,lads281000driver03
38046,2017-05-14,hay672727095,shed520636choosy02
95665,2010-10-06,one577693699,fund878582pony's84
24399,2011-02-13,mow172436622,lobe006400lapels94
74635,2007-07-27,nun502440448,gory724582peered35
86366,2010-10-30,all864778784,soon813808bunked48
30813,2016-12-01,sub735538680,prim671856exceed38
37284,2007-07-09,jug628923522,mutt764123gunman82
6941,2002-09-29,rev863643545,gals570810poking94
4519,2012-07-04,fox592398182,sops182039bait's51
73869,2005-12-11,ton289854435,deny858712ring's27
10527,2009-01-27,C's473561108,mama540192boat's13
31842,1999-11-26,pun680869792,gals570810poking94
58150,2006-05-01,how972509984,laid265856midway16
28879,2001-04-06,ova917806987,drug712715loiter67
65002,2005-02-05,far939908050,dear116368lamp's78
68177,2011-04-18,nun502440448,Mr's246565prudes50
30084,2009-06-19,wed415341578,tomb956745crated49
86623,2015-04-19,err032507272,gong056835stakes47
50560,2005-10-15,ear007972661,bill653889intend64
50387,2010-03-21,was303612535,muse415350anorak40
16225,2009-06-01,N's135717258,draw898882headed52
17984,2008-07-13,I'm851182944,weed729334madmen63
83107,2013-10-09,one577693699,teak548414sheave05
4822,2016-05-31,nit071752496,awry191550sweats07
64172,2015-08-17,cam298918664,flea762539soared25
21679,2009-04-03,was303612535,toll303426return70
18770,2002-09-15,lit689269311,prim857119repair37
20218,2005-11-24,ton289854435,lick730157potted09
53869,2014-10-24,art748246286,bear629500holier73
71349,2016-01-10,sup907632398,meow321745stag's35
29962,2016-01-17,pea994442835,bugs477256ballet62
75348,2011-02-16,jaw672883597,cure720723lumber91
11956,1999-12-15,ton289854435,eels031797sautés65
18540,2015-08-02,rev863643545,yank829319cancer70
31959,2014-09-16,sic320654376,gory724582peered35
79541,2016-03-10,fox592398182,runt493055joyous90
92507,2008-06-19,err032507272,veil422865sexing71
73975,2000-05-04,bow252604410,Mr's246565prudes50
46362,2011-05-05,jaw672883597,cock813188reefed81
87368,2001-05-21,jug628923522,pope836365turner98
90125,2016-05-06,err165355144,toll303426return70
24422,2013-10-08,boo860737691,in's900157pile's61
84523,2011-08-26,cam298918664,raps695784sodden18
25631,2008-05-12,gut572718597,bust966109chests80
4156,2007-03-28,PTI151101TE5,whet071631attend71
6703,2014-04-12,fox592398182,woof999017genius28
73633,2000-07-21,pun680869792,tube225463goatee47
20329,2016-04-23,hoe879106410,nips735464feudal55
20840,2018-07-12,err651849713,spit093511canary15
98742,2005-04-17,Mrs577451241,made181686eddied90
79920,2009-05-18,E's269333805,sees033519dashes23
73333,2004-11-14,shy372172456,vine118150punk's23
33441,2003-10-20,C's473561108,rule099337barter02
39175,2015-02-22,rev863643545,waxy739406grades13
57457,2000-10-06,hoe879106410,colt818062posy's43
86086,2018-04-11,tee450710413,soon813808bunked48
75335,2009-05-30,par819406503,jury727003tombed57
80857,2013-07-19,kin146948926,sour016885vermin40
45322,2018-01-09,jug628923522,nest634478fronts30
45918,2013-05-16,nil338161568,tuft776686gamest87
45201,2009-03-15,ram797006166,coin494555pirate06
84432,2018-04-18,err165355144,prim729963marine16
82026,2018-08-22,fur725487737,pate875828ameers09
79124,2015-09-24,nun502440448,moan012444lovely34
45119,2010-12-28,par819406503,deli112471comedy05
5289,2010-10-05,Mrs577451241,rows009576staved18
29821,2011-05-11,ray412114369,in's381337spasms48
45063,2017-12-20,fit663014020,nail133277wisp's16
41217,2015-10-20,sic320654376,yous378120rinses57
21470,2001-11-08,mod914907451,gyms621162juggle14
79143,2004-04-06,rye728434365,in's381337spasms48
51003,2017-10-25,E's269333805,fall974688pining73
40980,2003-01-17,fly485809572,lute495979errors40
29386,2006-02-24,fly485809572,lick730157potted09
31760,2000-01-30,par819406503,taut042791pander64
39258,2006-12-14,tee450710413,byte137303lobbed29
98876,2006-12-24,hoe879106410,rope071262ceding62
69497,2007-03-05,sub735538680,tour175786stuffs84
52900,2015-07-30,pea994442835,opus532727arcked72
87461,2005-12-21,rev863643545,nape061578civics47
75327,2009-01-21,tot234764824,seep630533buffet09
93078,2010-11-29,tot234764824,byte499544utters62
51349,2016-06-02,art748246286,trap724250feuded11
58335,2011-06-30,H's421293120,walk844242pealed54
51821,2002-03-17,H's421293120,east180108tang's57
38417,2000-11-13,mat398572820,fall974688pining73
33803,2004-04-21,far939908050,John362262you're67
27396,2009-04-29,far939908050,aids154915midway02
26348,2018-02-28,nun502440448,yens732027expels70
5034,2012-04-24,hit285232471,wall142991strays95
25964,2005-04-03,see215467835,mall002019mammas24
75560,2017-08-13,gut572718597,hash815565exacts30
79718,2003-10-09,hew849204847,hewn278596thaw's64
5126,2000-08-23,Mrs577451241,draw898882headed52
95523,2003-09-24,ray412114369,yard570597ripple22
95860,2000-12-08,all864778784,hilt584918pine's41
4779,2008-05-15,rev863643545,wage077459drones21
40555,2011-10-24,shy372172456,awry191550sweats07
85272,2003-05-19,out406391775,go's917472wake's87
10368,2015-02-18,err165355144,drab683354sway's16
74942,2013-08-26,fly823647922,pear579126escape78
66417,2016-01-13,cam298918664,used029108aplomb13
25941,2012-06-08,sub735538680,mood204217pepper47
35629,2007-02-21,nit071752496,Mr's246565prudes50
83495,2017-08-22,ear971761323,lute495979errors40
84662,2003-07-25,rye728434365,pope836365turner98
58695,2009-03-21,pea994442835,woes112990muffle06
12714,2009-11-11,wit028065720,cork140541rounds84
90607,2002-02-25,day898779376,yens732027expels70
5254,2015-04-30,nil338161568,woes112990muffle06
78166,2008-03-20,pep751121971,knot794640jail's44
89014,2006-12-11,ray412114369,bays298863twelve55
92217,2001-03-26,tie691977687,colt818062posy's43
46535,2011-09-05,too842867960,kiwi951873umpire72
17913,2005-12-19,fog545600324,song441523craves05
55375,2012-10-16,out525560463,ward088667bigger74
46211,2012-03-14,sin406909652,else063229pauses90
8371,2014-03-06,fit663014020,laws224453baling81
60334,2007-11-23,dip385674889,hire543542faiths39
28720,2017-07-11,nag850134826,worm295689Eskimo39
7564,2016-05-05,mod914907451,lads281000driver03
17585,2011-09-20,elk798439354,gays297515myriad65
80730,2013-04-29,fit663014020,awed532202goggle35
73665,2005-11-07,fur725487737,reek192681feeble34
20923,2007-02-26,fee660660279,talk159357nuclei84
89926,2009-06-08,jug895306684,zeta347780clucks13
76147,2015-07-18,fly823647922,lend063954tawdry63
52525,2013-09-08,ova917806987,icon519805waited51
3630,1999-12-23,sup907632398,duel198824mumble65
94117,2017-06-19,how972509984,snot599510vilest74
24973,2009-09-23,tee450710413,suck599705nodded49
42415,2009-10-08,fee303199886,idle904003spoken51
93534,2001-11-27,ohs668293017,rare929655remiss12
30470,2009-05-13,was303612535,dove118963read's16
44632,2010-11-28,qua146836639,duke318637pelt's55
5866,2003-12-04,don949162368,balm299994croaks09
30696,2016-04-20,dip385674889,smug751804peak's42
39571,2013-02-28,vow926426930,jack789778toeing49
84675,2015-09-29,pea994442835,wage077459drones21
27070,2007-08-22,nun706411232,flea762539soared25
75093,2006-05-07,kin146948926,torn530827ladled22
68682,2005-12-10,boo860737691,mood204217pepper47
15861,2011-04-23,pun680869792,kind829258sudden16
17321,2009-06-04,PTI151101TE5,seer187003rein's38
98788,2000-02-04,cam298918664,host828904midday86
38500,2002-03-08,dip385674889,lord259050jute's85
89196,2006-12-06,pun680869792,woes112990muffle06
72623,2005-03-12,elk798439354,lend063954tawdry63
39270,2013-03-27,tie691977687,chug284656meting75
81608,2009-09-02,I'm851182944,soul459583dilute31
57172,2014-07-13,jug628923522,yeti139355trolls81
82785,2003-07-18,fee303199886,pate875828ameers09
26950,2003-06-08,jaw672883597,spew478648allots58
18535,2003-11-04,PTI151101TE5,gees918667prided22
81474,2008-11-18,bow252604410,blow324494seated65
34298,2002-12-21,fit663014020,lied221524fillet97
69928,2006-10-31,ton289854435,skid599497zebras96
71454,2018-10-28,ran034416120,thus989547staged08
38515,2008-09-23,err032507272,tint447723loom's52
45453,2013-01-06,was303612535,jury727003tombed57
32836,2001-09-12,ray412114369,made181686eddied90
92605,2010-09-01,fee303199886,deny858712ring's27
54006,2005-04-01,tee450710413,hews171609measly35
4733,2003-05-04,E's269333805,lone784290want's55
69496,2017-07-14,fly485809572,anal004922turgid69
22700,2006-06-05,rye728434365,ream606832triter16
61661,2006-01-15,rev863643545,gold929681stalls00
67182,2013-04-22,nun502440448,keel982827orient26
9601,2015-01-28,err651849713,mutt764123gunman82
83119,2004-06-06,nun502440448,spit438677mashes70
36890,2011-03-12,vow926426930,kind829258sudden16
68279,2015-07-05,one577693699,urge615256spaced37
53130,2017-08-23,rue643285883,mute326875tiff's06
10537,2004-08-25,lit689269311,tomb956745crated49
33282,2016-12-27,Mrs577451241,omen296022brandy46
41431,2013-09-23,ear971761323,deaf773629rift's09
19038,2003-05-11,one577693699,sour016885vermin40
25752,2009-11-06,fit663014020,made181686eddied90
83417,2003-02-19,how972509984,epic925999rammed17
45348,2017-04-02,tot234764824,tidy312790vacant92
86142,2004-12-03,sex242375703,spit093511canary15
32298,2013-01-03,err165355144,whet071631attend71
54704,2004-06-21,hat434189124,less173080jumper49
99533,2005-05-05,tie094738702,lord259050jute's85
54066,2010-12-19,cue657815623,nits721890broths95
41224,2004-09-24,jaw672883597,jolt146800quip's25
51611,2016-06-26,fee660660279,glut718753what's53
48469,2010-04-09,cam298918664,jigs088196nodded14
30030,2010-12-12,too842867960,trap724250feuded11
24938,2003-12-11,fit663014020,tell513216junior67
70179,2015-06-12,jug895306684,bugs477256ballet62
8095,2009-04-23,pep751121971,tomb956745crated49
6869,2012-03-24,sin318378753,muse415350anorak40
5537,2018-03-13,boo860737691,urge615256spaced37
59533,2006-03-29,I'm851182944,rues826442widens40
39694,2013-05-15,hew849204847,apex015589jade's99
57888,2004-04-23,pea994442835,smog799661iguana35
56182,2005-01-17,H's421293120,waxy739406grades13
53675,2018-06-23,err651849713,belt426893poorly92
78306,2007-01-18,out406391775,trap724250feuded11
15364,2002-07-17,nit071752496,dove118963read's16
72380,2007-09-12,nag850134826,skis925410room's11
42786,2018-03-01,tax698538405,tipi922146defame56
57363,2012-01-16,jug628923522,buds576110sarees63
39018,2015-12-20,nit071752496,claw441964cycles95
49503,2009-03-09,sic320654376,pate875828ameers09
82837,2006-11-19,nun706411232,reis624741frying67
54317,2018-05-29,err032507272,bear525016sorted17
76395,2000-05-28,don949162368,chug284656meting75
36725,2010-07-30,pun680869792,keel654630cordon19
29465,2014-11-19,sin406909652,nape061578civics47
10829,2001-04-29,hoe879106410,coke962610shyest89
87057,2014-07-31,day898779376,gene946952homage63
46826,2007-12-11,aim882563674,myth767534guilds74
4682,2000-07-06,cam298918664,hilt584918pine's41
34572,2003-08-03,fly485809572,meek338409pounds99
16082,2012-06-23,was303612535,mink957535goof's95
43870,2016-04-20,sup907632398,maul518347tackle35
33739,2017-01-10,yet728568829,snot599510vilest74
67304,2017-10-03,how972509984,tugs689752self's75
52380,2011-10-22,wed415341578,rare929655remiss12
38594,2012-09-28,boo860737691,swap858510goon's51
14955,2004-07-24,hay672727095,gust581195nation25
41425,2015-02-21,ear007972661,mate360826killed24
18071,2003-02-01,rue643285883,turn028278malt's52
48827,2016-03-01,sup907632398,jury520270coughs70
66680,2013-02-08,rye728434365,test952505radars07
89400,2014-12-29,Mrs577451241,matt042407arouse91
49792,2008-08-16,fog545600324,pelt612256judges19
50586,2003-12-11,C's345909569,ploy790234things12
35744,2001-12-14,mow172436622,wees524678storks86
86692,2002-01-21,sic320654376,tell513216junior67
76637,2015-07-16,rev863643545,poet323093atones86
11719,2012-12-31,err651849713,dawn754653cowing31
52268,2011-02-07,how972509984,bawl192857stoops61
48191,2002-02-11,jug628923522,lean247466gloved95
50351,2018-07-25,one577693699,tint447723loom's52
80841,2007-12-08,day173130104,laws224453baling81
68472,2003-08-10,how972509984,tidy312790vacant92
9654,2014-05-23,art748246286,gyms621162juggle14
67027,2001-06-14,sin318378753,byte137303lobbed29
87518,2013-02-04,sup907632398,vast220973insane65
42785,2015-12-20,mow172436622,jerk342422onuses47
53989,2003-05-04,fly485809572,shoo409180primed08
17462,2005-02-19,yet728568829,polo546437stuffy94
14345,2009-05-07,cam298918664,lobe006400lapels94
38891,2013-08-03,jaw672883597,shed520636choosy02
9231,1999-11-15,rye728434365,deli112471comedy05
58492,2003-09-07,hip430806457,tint447723loom's52
66480,2010-09-12,mow172436622,late491961barbed07
54416,2009-03-13,err032507272,foes752371misted18
13411,2018-09-26,art748246286,soli002665tipi's62
71067,2000-07-05,err651849713,rats617893stinks07
5442,2017-10-20,ear007972661,tubs545576grub's87
21220,2015-08-16,par819406503,roam753039source82
56522,2012-06-14,C's345909569,duel184666pout's65
71833,2000-09-11,jaw672883597,cots748252celery80
91848,2002-08-08,ova917806987,opus532727arcked72
22255,2011-06-29,tie094738702,fall974688pining73
39480,2017-08-26,PTI151101TE5,jabs187400morbid16
39766,2004-03-15,fur725487737,tuft776686gamest87
18815,2005-12-29,dip385674889,flog194223sole's39
46809,2010-10-18,ear971761323,soli687168hobo's88
17142,2003-04-24,tot234764824,lied544420sodium26
50860,2000-02-10,wed415341578,skid599497zebras96
53521,2014-07-24,Mrs577451241,lobs698225bossed90
83913,2001-06-20,N's135717258,slay815341ejects92
31752,2016-05-13,tee450710413,hags031953physic04
80507,2013-10-17,qua146836639,nips735464feudal55
83629,2018-10-14,sex242375703,cure720723lumber91
55874,2008-11-07,fly485809572,laid152761gonged39
37808,2011-11-27,ton289854435,oral847495tiding26
99449,2013-07-19,hit987658600,worn387478flings59
19052,2007-04-13,hit285232471,gull732656merger25
93340,2018-06-26,ohs668293017,reef472250wart's51
46530,2010-07-06,yet728568829,lure509552advert32
38197,2009-11-27,nit071752496,rook619161noodle54
61882,2004-12-14,pun680869792,lute495979errors40
54058,2006-11-20,rev863643545,hair336069left's42
70910,2011-09-30,cam298918664,plum901183rummer05
68980,2013-01-14,hay672727095,fans860516silk's81
20037,2016-11-05,rue643285883,cows474941heater25
93428,2004-05-04,qua146836639,rats617893stinks07
99933,2000-01-21,one577693699,prod189070mended68
25888,2007-09-29,Mrs577451241,pope836365turner98
27642,2014-01-22,lit689269311,gate287614rebuff40
54153,2003-01-12,jaw672883597,hoot720441rasher21
84169,2003-09-01,PTI151101TE5,lags113625punter58
24870,2010-02-23,fox592398182,dash131753replay29
17211,2013-03-05,rye728434365,seek120260many's61
39222,2005-04-27,hoe879106410,bear629500holier73
92159,2003-01-09,fur725487737,aide933623kink's20
78367,2018-06-20,pea994442835,lord259050jute's85
20808,2001-09-10,cur995269279,idea433421taping80
91087,2010-04-06,wed415341578,yawn887259retail03
63937,2002-07-09,fly823647922,loll891607crowed71
47118,2015-12-14,ear971761323,nest634478fronts30
48919,2006-01-13,sic320654376,jeer770023regard85
27489,2014-12-30,ova917806987,rook619161noodle54
